cie9_no_dot,ccs_code,ccs_label,ccs_code_lvl1,ccs_label_lvl1,ccs_code_lvl2,ccs_label_lvl2,ccs_code_lvl3,ccs_label_lvl3,ccs_code_lvl4,ccs_label_lvl4,ccs_epichron_label,ccs_vih_label,ccs_epichron_code
01000,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01001,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01002,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01003,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01004,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01005,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01006,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01010,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01011,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01012,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01013,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01014,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01015,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01016,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01080,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01081,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01082,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01083,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01084,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01085,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01086,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01090,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01091,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01092,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01093,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01094,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01095,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01096,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01100,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01101,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01102,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01103,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01104,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01105,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01106,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01110,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01111,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01112,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01113,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01114,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01115,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01116,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01120,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01121,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01122,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01123,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01124,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01125,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01126,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01130,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01131,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01132,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01133,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01134,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01135,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01136,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01140,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01141,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
01142,1,Tuberculosis,1,Infectious and parasitic diseases,1.1,Bacterial infection,1.1.1,Tuberculosis [1.],,,Tuberculosis,HIV-related disease,3000
