AUI|CODE|STR|ISPREF
B00052335A|X76.1|NEOPLASIAS MALIGNAS DE MAMA, EN LA MUJER|N
B09072045A|F92.8|IQª   CATARATA OI|N
B00019186A|F92.8|CATARATA-INTERV|N
B00038270A|R74.6|CATARRO SIN CITA|N
B01501309A|D20.30|LABIO  LESION|N
B09365731A|S88.14|ECCEMA  EN CUELLO.|N
B04443268A|L04.4|DOLOR TORACICO, PARIETAL.|N
B06778293A|N07.2|CONVULSIONES FEBRILES EN|N
B11432455A|F99.16|PTERIGION IZDA.|N
B11362414A|L86.16|HERNIA DISCAL DE L5 A S1|N
B11372843A|T89.6|DIABETES MELLITUS TIPO II/ADO +INSULINA|N
B04165110A|B73.7|LLC B|N
B09195491A|B27.3|MIEDO (DE PADEC.) ANEMIA ++++++++++++++++++++++++|N
B09219565A|T90.9|DIABETES MELLITUS TIPO   2|N
B11430555A|S88.19|INTERTRIGO( INGUINAL )|N
B01478567A|L12.8|DOLOR EN DEDO NC|N
B11432723A|P06.3|INSOMNIO ---      *******|N
B11380586A|F92.8|CATARATA( CIRUGIA )|N
B11425284A|L92.11|TENDINITIS DEL SUPRAESPINOSO - DERECHO/A TENDINITIS DEL SUPRAESPINOSO|N
B11407559A|L87.30|TENDINITIS NC DE QUERVAIN IZQUIERDO|N
B11429611A|F75.12|-HEMORRAGIA VITREA|N
B03249751A|T81.7|BOCIO : MULTINODULAR|N
B00031420A|L87.38|TENDINITIS   MUÐECA|N
B03181539A|L18.13|FASCITIS PLANTAR IZDA. NC|N
B11423701A|L17.9|TALALGIA (D,)|N
B03264503A|T91.18|DEFICIENCIA VITAMINICA (DEFICIT)---B 12|N
B00027286A|L08.1|DOLOR HOMBRO DCHO:|N
B02921040A|L11.4|SINTOMA, QUEJA, SIGNO MUÑECA IZQ|N
B00010588A|A81.2|POLICONTUSION|N
B11436682A|S97.1|ULCERA, ULCERACION DECUBITO//|N
B08692396A|S91.3|PSORIASIS/GUTATA|N
B02386497A|A99.990|DE??|N
B01677179A|S93.2|QUISTES EPIDERMICOS|N
B08854856A|Y75.1|/BALANITIS|N
B00059768A|Z19.4|PERDIDA DE UN HIJO|N
B03021612A|F93.1|GLAUCOMA+DR|N
B11424967A|D06.19|DOLOR FOSA ILIACA     DCHA.      NC|N
B11412700A|U41.1|TRAS PIELOGRAFIA|N
B01328849A|L76.2|FRACTURA HUESOS CARA|N
B11413332A|W82.9|AMENAZA DE ABORTO . ; AMENAZA DE ABORTO|N
B00021195A|H71.7|OTITIS MEDIA)|N
B11373831A|K90.11|OCLUSION  (ARTERIAL ) CEREBRAL  (ICTUS)|N
B11381664A|N03.1|DOLOR NC EN CARA|N
B05670291A|L90.1|GONARTROSIS - IZQUIERDO/A!!!!!!!!!!!!!!!!!!!!!!!!|N
B00042976A|S16.1|CONTUSIO CUTANIA, AMB SUPERFICIE INTACTA|N
B02124787A|H70.1|ECCEMA NC  CAE OI|N
B02158787A|L10.2|SINTOMA, QUEJA, SIGNO CODO  DERECHO/A|N
B03211875A|Y74.3|EPIDIDIMITIS DCHA.|N
B11391110A|L08.2|SINTOMA, QUEJA, SIGNO HOMBRO NC - DERECHO/A ***   ***|N
B01037703A|L13.10|COXALGIA,TROCANTERITIS|N
B08733193A|K75.1|INFARTO DE MIOCARDIO, AGUDO IAM|N
B11387782A|Y73.5|PROSTATITIS - CRONICA|N
B04677695A|K96.1|HEMORROIDES ; HEMORROIDE NEOM|N
B01272147A|D06.27|DOLOR INGUINAL DR|N
B01089026A|F13.5|,OJO SECO|N
B04591754A|F92.8|CATARATA I.Q. ; CATARATA|N
B09416022A|L17.5|DOLOR PIE -IZQ.|N
B01520542A|L13.4|COXALGIA DERECHO|N
B02195468A|S16.14|CONTUSION MANO  - DERECHO/A|N
B00803873A|T91.14|DEFICIENCIA VITAMINICA (DEFICIT)VIT D|N
B00985345A|A98.8|REV EL NIÑO SANO DE 6 - 14 AÑOS|N
