CIAP2|CIE9|DESCRIPTOR
D98|575.9|OTRA ENFERMEDAD DE LA VESICULA BILIAR
D98|576.1|COLANGITIS
D98|576.9|OTRA ENFERMEDAD DE LAS VIAS BILIARES
D99|557.0|ENFERMEDAD VASCULAR MESENTERICA
D99|558.2|GASTROENTEROPATIA TOXICA
D99|558.9|COLITIS NO INFECCIOSA
D99|558.9|GASTROENTERITIS NO INFECCIOSA
D99|558.9|GASTROENTEROPATIA ALERGICA
D99|558.9|GASTROENTEROPATIA DIETETICA
D99|560.0|INVAGINACION INTESTINAL
D99|560.1|ILEO PARALITICO
D99|560.2|VOLVULO INTESTINAL
D99|560.9|OBSTRUCCION INTESTINAL
D99|564.2|SINDROME DE VACIAMIENTO RAPIDO EN GASTRECTOMIZADO
D99|564.2|SINDROME POSTCIRUGIA GASTRICA
D99|564.7|MEGACOLON SECUNDARIO
D99|567.9|PERITONITIS
D99|568.0|ADHERENCIAS ABDOMINALES
D99|568.9|OTRA ALTERACION DEL PERITONEO
D99|569.9|OTRA ALTERACION INTESTINAL
D99|577.0|PANCREATITIS AGUDA
D99|577.1|PANCREATITIS CRONICA
D99|577.2|QUISTE DEL PANCREAS
D99|577.9|OTRA ENFERMEDAD PANCREATICA, PANCREAS
D99|579.0|ESPRUE
D99|579.0|INTOLERANCIA AL GLUTEN, CELIAQUIA, CELIACA
D99|579.3|SINDROME POSTCIRUGIA INTESTINAL
D99|579.8|INTOLERANCIA PROTEINAS LECHE DE VACA
D99|579.9|SINDROME DE MALABSORCION INTESTINAL
F01|379.91|DOLOR OCULAR, OJO NE
F02|379.93|OJO ROJO
F02|379.99|OJO INFLAMADO
F03|375.21|LAGRIMEO, EPIFORA, OJO LLOROSO
F03|379.93|SECRECION OCULAR
F03|379.93|SECRECION OCULAR PURULENTA
F04|379.24|MANCHA/PUNTO FIJO EN EL CAMPO VISUAL, OJO
F04|379.24|MANCHA/PUNTO FLOTANTE, OJO
F04|379.24|MOSCAS VOLANTES, FLOTANTES, OJO
F05|367.9|DIFICULTAD PARA LEER, PROBLEMA VISUAL
F05|368.12|CEGUERA TEMPORAL NE
F05|368.13|FOTOFOBIA
F05|368.2|DIPLOPIA
F05|368.44|ESCOTOMA VISUAL, OJO
F05|368.8|DESLUMBRAMIENTO OCULAR
F05|368.8|OTRO PROBLEMA VISUAL, OJO
F05|368.8|PROBLEMA VISION NE
F05|368.8|VISION BORROSA
F13|375.15|OJO SECO, PICOR, ARDOR
F13|379.99|SENSACION ANORMAL EN OJO/S
F14|379.50|NISTAGMO, NISTAGMUS
F14|379.59|MOVIMIENTO/S INVOLUNTARIO/S ANORMAL/ES OJO, ANORMAL
F15|374.82|OJO/S HINCHADO/S
F16|374.30|PTOSIS PALPEBRAL
F16|374.89|SIGNO/SINTOMA PARPADO
F17|95.09|SIGNO/SINTOMA EN RELACION CON GAFAS
F18|371.82|SIGNO/SINTOMA EN RELACION CON LENTES DE CONTACTO, LENTILLAS
F28|369.61|CEGUERA DE UN OJO
F28|379.99|INCAPACIDAD/MINUSVALIA ATRIBUIBLE A OJO/S Y ANEJOS
F28|379.99|INCAPACIDAD/MINUSVALIA POR UN PROBLEMA OCULAR
F29|379.99|OTRO SIGNO/SINTOMA OCULAR, OJO
F70|372.00|CONJUNTIVITIS INFECCIOSA BACTERIANA
F70|372.00|CONJUNTIVITIS INFECCIOSA NE
F70|372.00|CONJUNTIVITIS INFECCIOSA VIRAL
F70|372.00|FARINGOCONJUNTIVITIS VIRAL
F71|372.05|CONJUNTIVITIS ALERGICA CON RINORREA
F71|372.05|CONJUNTIVITIS ALERGICA SIN RINORREA
F71|372.05|RINOCONJUNTIVITIS ALERGICA
F72|373.00|BLEFARITIS
F72|373.11|ORZUELO
F72|373.2|CHALACION
F72|373.2|QUISTE DE MEIBOMIO
F72|373.2|QUISTE TARSAL
F72|373.5|INFECCION DE PARPADO/S
F72|373.9|DERMATITIS DEL PARPADO/S
F72|373.9|DERMATOSIS DEL PARPADO/S
F73|054.41|HERPES SIMPLE OCULAR, SIN ULCERACION CORNEAL
F73|364.3|IRIDOCICLITIS
F73|364.3|IRITIS
F73|370.9|QUERATITIS
F73|375.30|DACRIOCISTITIS
F73|376.00|INFLAMACION ORBITA OCULAR
F73|376.00|OTRA INFECCION/INFLAMACION OJO
F74|190.9|NEOPLASIA M ANEJOS OCULARES
F74|190.9|NEOPLASIA M OJO
F74|224.9|NEOPLASIA BENIGNA ANEJOS OCULARES
F74|224.9|NEOPLASIA BENIGNA OJO
F74|224.9|NEOPLASIA INESPECIFICA ANEJOS OCULARES
F74|224.9|NEOPLASIA INESPECIFICA OJO
F75|364.41|HIPEMA
F75|372.72|HEMORRAGIA SUBCONJUNTIVAL, OJO
F75|921.9|CONTUSION ANEJOS OCULARES
F75|921.9|CONTUSION OCULAR, OJO
F75|921.9|EQUIMOSIS PARPADO/S
F75|921.9|HEMATOMA OCULAR
F75|921.9|HEMORRAGIA ANEJOS OCULARES
F76|930.9|CUERPO EXTRAÑO EN EL OJO
F79|370.24|CEGUERA POR NIEVE
F79|370.24|CONJUNTIVITIS POR DESLUMBRAMIENTO
F79|918.1|ABRASION CORNEAL
F79|921.9|OTRA LESION OCULAR, OJO
F82|361.9|DESPRENDIMIENTO DE RETINA
F83|362.01|RETINOPATIA DIABETICA
F83|362.11|RETINOPATIA HIPERTENSIVA
F83|362.9|OTRA RETINOPATIA
F84|362.50|DEGENERACION MACULAR, DE LA MACULA
F85|054.40|HERPES SIMPLE OCULAR
F85|054.42|ULCERA CORNEAL POR HERPES
F85|054.42|ULCERA DENDRITICA
F85|370.00|ULCERA CORNEAL
F85|370.9|QUERATITIS VIRAL
F86|076.9|TRACOMA
F91|367.0|HIPERMETROPIA
F91|367.1|MIOPIA
F91|367.20|ASTIGMATISMO
F91|367.4|PRESBICIA, VISTA CANSADA
F91|367.9|ALTERACION REFRACCION
F92|366.9|CATARATA
F93|365.9|AUMENTO PRESION INTRAOCULAR
F93|365.9|GLAUCOMA
F94|369.00|CEGUERA COMPLETA AMBOS OJOS
F94|369.20|CEGUERA PARCIAL DE AMBOS OJOS
F94|369.9|CEGUERA/REDUCCION DE LA AGUDEZA VISUAL
F94|369.9|DEFICIT VISUAL
F95|378.9|BIZQUEO
F95|378.9|ESTRABISMO
F99|362.13|ARTERIOSCLEROSIS RETINIANA
F99|362.30|EMBOLIA/ARTERIOSCLEROSIS OFTALMICA
F99|366.9|OPACIDAD CORNEAL
F99|368.00|AMBLIOPIA
F99|368.59|CEGUERA A LOS COLORES
F99|368.60|CEGUERA NOCTURNA
F99|372.40|PTERIGION
F99|374.00|ENTROPION
F99|374.10|ECTROPION
F99|376.30|EXOFTALMOS
F99|376.9|ENFERMEDAD DE LA ORBITA OCULAR
F99|377.00|PAPILEDEMA
F99|379.00|EPISCLERITIS
F99|379.03|ESCLERITIS
F99|379.99|OTRA ENFERMEDAD DEL OJO/ANEJOS OCULARES
H01|388.70|DOLOR DE OIDO/OREJA/MASTOIDE, OTALGIA
H02|388.70|SIGNO/SINTOMA AUDITIVO
H02|389.9|DEFICIT AUDITIVO
H02|389.9|OIDO, DISMINUCION AUDICION, HIPOACUSIA
H03|388.30|ZUMBIDO/PITIDO/TINNITUS/ACUFENOS/ECO/RUIDO OIDO
H03|388.40|AUTOFONIA
H04|388.60|OTORREA, SECRECION POR EL OIDO
H05|388.69|OTORRAGIA, SANGRE EN/DEL OIDO, SECRECION
H13|388.40|BLOQUEO AUDITIVO
H13|388.40|OIDO, SENSACION DE TAPONAMIENTO
H28|389.9|INCAPACIDAD/MINUSVALIA ATRIBUIBLE A APARATO AUDITIVO
H28|389.9|SORDERA TEMPORAL
H28|389.9|SORDERA UNILATERAL
