"",ML8,ML10,ML6,ML5,ML9,ML2,ML1,ML4,ML7,ML3
Cataract,0,0.687,0,0,0,0,0,0,0,0
Osteoporosis,0,0.634,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.417,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.398,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.385,0,0,0,0,0,0,0,0
Glaucoma,0,0.364,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0.343,0,0,0,0,0,0,0,0
Neoplasms,0,0.316,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0.879,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.38,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.328,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0.975,0,0,0,0,0,0
Diabetes,0,0,0,0,0.77,0,0,0,0,0
Obesity,0,0,0,0,0.422,0,0,0,0,0
Hypertension,0,0,0,0,0.413,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.359,0,0,0,0,0
Gout,0,0,0,0,0,1.017,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,1.007,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,1.02,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0.987,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0.999
Allergic_rhinitis,0.417,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.499,0,0,0,0,0,0,0,0,0
Asthma,0.315,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.303,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.349,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.456,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.838,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.457,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.336,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.362,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0
