"",ML8,ML6,ML7,ML4,ML3,ML5,ML1,ML2,ML9
Menstrual_disorders,0,0.864,0,0,0,0,0,0,0
Anxiety_disorders,0,0.484,0,0,0,0,0,0,0
Headache__including_migraine,0,0.473,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0.463,0,0,0,0,0,0,0
Allergic_rhinitis,0,0.373,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.357,0,0,0,0,0,0,0
Thyroid_disorders,0,0.357,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.326,0,0,0,0,0,0,0
Asthma,0,0.301,0,0,0,0,0,0,0
Diabetes,0,0,0.703,0,0,0,0,0,0
Hypertension,0,0,0.571,0,0,0,0,0,0
Obesity,0,0,0.532,0,0,0,0,0,0
Gout,0,0,0.463,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.362,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.351,0.323,0,0,0,0,0
Menopausal_disorders,0,0,0,0.908,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.319,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0.957,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0.993,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.986,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,1.001,0
Sexual_disorders,0,0,0,0,0,0,0,0,0.623
Atopic_dermatitis,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.356,0,0,0,0,0,0,0,0
Cataract,0.687,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.382,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.436,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0
Glaucoma,0.372,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0
Neoplasms,0.347,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0
Osteoporosis,0.581,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.422,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0
