"",ML3,ML2,ML1,ML4
Diabetes,0,0.833,0,0
Hypertension,0,0.649,0,0
Obesity,0,0.629,0,0
Disorders_of_lipid_metabolism,0,0.425,0,0
Menstrual_disorders,0,0,0.915,0
Menopausal_disorders,0.595,0,0.318,0
Allergic_rhinitis,0,0,0,0.434
Asthma,0,0,0,0.351
Miscellaneous_mental_health_disorders,0,0,0,0.308
Anxiety_disorders,0,0,0,0.3
Cataract,0.563,0,0,0
Depression_and_Mood_disorders,0.447,0,0,0
Esophageal_disorders,0,0,0,0
Headache__including_migraine,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.342,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.359,0,0,0
Osteoarthritis,0.564,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.506,0,0,0
Thyroid_disorders,0,0,0,0
Urinary_incontinence,0.42,0,0,0
Vision_defects,0,0,0,0
