"",ML12,ML6,ML13,ML4,ML10,ML2,ML7,ML11,ML15,ML5,ML8,ML9,ML1,ML3,ML14
Menopausal_disorders,0,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0.44,0,0,0.374,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.349,0,0,0,0,0,0,0,0,0,0,0,0
Adictions,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.487,0,0,0,0,0,0,0,0,0,0,0.301
Urinary_incontinence,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0.952,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0.301,0.328,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0.498,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,1.012,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
