"",ML1,ML2,ML3
Menstrual_disorders,0,0.809,0
Menopausal_disorders,0,0.65,0
Headache__including_migraine,0,0.434,0
Miscellaneous_mental_health_disorders,0,0.419,0
Thyroid_disorders,0,0.395,0
Anxiety_disorders,0,0.349,0.447
Allergic_rhinitis,0,0.314,0
Asthma,0,0.305,0
Adictions,0,0,0.758
Hepatitis,0,0,0.623
Alcohol-related_disorders,0,0,0.433
Depression_and_Mood_disorders,0,0,0.43
Sexual_disorders,0,0,0.415
Hepatic_steatosis_and_other_liver_diseases,0,0,0.375
Other_male_genital_disorders,0,0,0.321
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.483,0,0.304
Cardiac_dysrhythmias,0.703,0,0
Cataract,0.708,0,0
Coagulation_and_hemorrhagic_disorders,0.469,0,0
Congestive_heart_failure__nonhypertensive,0.658,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.475,0,0
Diabetes,0.655,0,0
Disorders_of_lipid_metabolism,0.596,0,0
Esophageal_disorders,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.35,0,0
Hypertension,0.725,0,0
Ischemic_heart_disease,0.591,0,0
Neoplasms,0.372,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0
Obesity,0.438,0,0
Osteoarthritis,0.602,0,0
Osteoporosis,0.497,0,0
Psoriasis_and_other_inflammatory,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.402,0,0
Urinary_incontinence,0.521,0,0
Vision_defects,0,0,0
