ccs,n_positive_vih,N_total_vih,prop_vih,n_positive_ctl,N_total_ctl,prop_ctl,p_value
HIV_infection,8302,8302,100,0,16289,0,0
Anxiety_disorders,1978,8302,23.83,3140,16289,19.28,0
Disorders_of_lipid_metabolism,1802,8302,21.71,3961,16289,24.32,0
Hypertension,1664,8302,20.04,3397,16289,20.85,0.1412
Depression_and_Mood_disorders,1493,8302,17.98,1877,16289,11.52,0
Headache__including_migraine,1391,8302,16.75,2417,16289,14.84,0.0001
Hepatitis,943,8302,11.36,167,16289,1.03,0
Menstrual_disorders,857,8302,10.32,1638,16289,10.06,0.5265
Allergic_rhinitis,713,8302,8.59,1610,16289,9.88,0.0011
Diabetes,678,8302,8.17,1207,16289,7.41,0.0371
Vision_defects,639,8302,7.7,1112,16289,6.83,0.013
Thyroid_disorders,629,8302,7.58,1361,16289,8.36,0.0363
Adictions,529,8302,6.37,157,16289,0.96,0
Obesity,513,8302,6.18,1379,16289,8.47,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,501,8302,6.03,916,16289,5.62,0.2006
Osteoarthritis,501,8302,6.03,979,16289,6.01,0.9617
Asthma,452,8302,5.44,832,16289,5.11,0.2748
Neoplasms,420,8302,5.06,485,16289,2.98,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,386,8302,4.65,755,16289,4.64,0.9849
Urinary_incontinence,379,8302,4.57,621,16289,3.81,0.0052
Sexual_disorders,371,8302,4.47,484,16289,2.97,0
Other_male_genital_disorders,366,8302,4.41,397,16289,2.44,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,352,8302,4.24,359,16289,2.2,0
Cataract,349,8302,4.2,601,16289,3.69,0.0519
Neuropathy_and_other_nervous_system_disorders,339,8302,4.08,609,16289,3.74,0.1962
Miscellaneous_mental_health_disorders,327,8302,3.94,656,16289,4.03,0.7639
Ischemic_heart_disease,323,8302,3.89,326,16289,2,0
Alcohol-related_disorders,318,8302,3.83,364,16289,2.23,0
Congestive_heart_failure__nonhypertensive,305,8302,3.67,156,16289,0.96,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,305,8302,3.67,476,16289,2.92,0.0017
Psoriasis_and_other_inflammatory,279,8302,3.36,483,16289,2.97,0.0982
Esophageal_disorders,271,8302,3.26,536,16289,3.29,0.9429
Menopausal_disorders,266,8302,3.2,590,16289,3.62,0.098
Osteoporosis,265,8302,3.19,381,16289,2.34,0.0001
Cardiac_dysrhythmias,263,8302,3.17,481,16289,2.95,0.3727
Hepatic_steatosis_and_other_liver_diseases,261,8302,3.14,294,16289,1.8,0
Coagulation_and_hemorrhagic_disorders,255,8302,3.07,288,16289,1.77,0
Chronic_kidney_disease,244,8302,2.94,304,16289,1.87,0
Inflammatory_conditions_of_male_genital_organs,221,8302,2.66,352,16289,2.16,0.0156
Atopic_dermatitis,201,8302,2.42,417,16289,2.56,0.5385
Glaucoma,198,8302,2.38,428,16289,2.63,0.2717
Adjustment_disorders,185,8302,2.23,254,16289,1.56,0.0002
Hyperplasia_of_prostate,173,8302,2.08,421,16289,2.58,0.0176
Acute_cerebrovascular_disease,164,8302,1.98,180,16289,1.11,0
Epilepsy__convulsions,161,8302,1.94,150,16289,0.92,0
Other_non-traumatic_joint_disorders,156,8302,1.88,259,16289,1.59,0.107
Chronic_ulcer_of_skin,153,8302,1.84,189,16289,1.16,0
Gout,152,8302,1.83,343,16289,2.11,0.1606
Diseases_of_white_blood_cells,149,8302,1.79,234,16289,1.44,0.0366
Acquired_foot_deformities,143,8302,1.72,284,16289,1.74,0.946
Other_nutritional__endocrine__and_metabolic_disorders,140,8302,1.69,263,16289,1.61,0.7144
Myodesopsia_and_other_eye_disorders,126,8302,1.52,255,16289,1.57,0.8164
Irritable_bowel_and_other_GI_disorders,122,8302,1.47,243,16289,1.49,0.9355
Obstructive_Sleep_apnea,122,8302,1.47,288,16289,1.77,0.0937
Schizophrenia_and_other_psychotic_disorders,119,8302,1.43,136,16289,0.83,0
Other_acquired_deformities,116,8302,1.4,242,16289,1.49,0.6234
Peripheral_and_visceral_atherosclerosis,108,8302,1.3,111,16289,0.68,0
Personality_disorders,104,8302,1.25,72,16289,0.44,0
Other_circulatory_disease,94,8302,1.13,122,16289,0.75,0.0029
Diverticulosis_and_diverticulitis,91,8302,1.1,181,16289,1.11,0.9663
Joint_disorders_and_dislocations__trauma-related,90,8302,1.08,161,16289,0.99,0.5229
Attention-deficit__conduct__and_disruptive_behavior_disorders,83,8302,1,76,16289,0.47,0
Female_infertility,76,8302,0.92,130,16289,0.8,0.3784
Other_congenital_anomalies,74,8302,0.89,143,16289,0.88,0.9724
Transient_cerebral_ischemia,69,8302,0.83,107,16289,0.66,0.1463
Heart_valve_disorders,68,8302,0.82,79,16289,0.48,0.0018
Nonmalignant_breast_conditions,65,8302,0.78,154,16289,0.95,0.226
Viral_infection,64,8302,0.77,35,16289,0.21,0
Pancreatic_disorders__not_diabetes_,63,8302,0.76,59,16289,0.36,0
Restless_leg_syndrome_and_other_nervous_system_conditions,61,8302,0.73,69,16289,0.42,0.002
Paralysis,56,8302,0.67,80,16289,0.49,0.0813
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,56,8302,0.67,75,16289,0.46,0.0368
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,56,8302,0.67,135,16289,0.83,0.2201
Rheumatoid_arthritis_and_related_disease,56,8302,0.67,91,16289,0.56,0.3043
Regional_enteritis_and_ulcerative_colitis,54,8302,0.65,87,16289,0.53,0.2922
Hyperparathyroidism_and_other_endocrine_disorders,52,8302,0.63,53,16289,0.33,0.0009
HIV-related_disease,50,8302,0.6,20,16289,0.12,0
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,50,8302,0.6,22,16289,0.14,0
Conduction_disorders,47,8302,0.57,147,16289,0.9,0.0061
Prolapse_of_female_genital_organs,47,8302,0.57,99,16289,0.61,0.7534
Dyspareunia,44,8302,0.53,107,16289,0.66,0.2635
Eating_disorders,43,8302,0.52,33,16289,0.2,0
Other_bone_disease_and_musculoskeletal_deformities,40,8302,0.48,82,16289,0.5,0.895
Systemic_lupus_erythematosus_and_connective_tissue_disorders,39,8302,0.47,45,16289,0.28,0.0191
Endometriosis,37,8302,0.45,40,16289,0.25,0.0112
Other_hematologic_conditions,32,8302,0.39,2,16289,0.01,0
Thalassemia_and_other_anemia,31,8302,0.37,44,16289,0.27,0.2053
Other_and_ill-defined_heart_disease,28,8302,0.34,48,16289,0.29,0.6545
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,27,8302,0.33,88,16289,0.54,0.0252
Aortic__peripheral__and_visceral_artery_aneurysms,24,8302,0.29,32,16289,0.2,0.1937
Sleeping_disorders,24,8302,0.29,55,16289,0.34,0.605
Cryptorchidism_and_other_genitourinary_congenital_anomalies,22,8302,0.26,42,16289,0.26,1
Other_microcrystalline_arthritis,20,8302,0.24,38,16289,0.23,1
Parkinson_s_disease,20,8302,0.24,41,16289,0.25,0.9797
Nutritional_deficiencies,18,8302,0.22,9,16289,0.06,0.0006
Other_diseases_of_veins_and_lymphatics,17,8302,0.2,21,16289,0.13,0.2076
Urinary_tract_infections,16,8302,0.19,26,16289,0.16,0.6663
Multiple_sclerosis,14,8302,0.17,24,16289,0.15,0.8178
Other_diseases_of_bladder_and_urethra,14,8302,0.17,29,16289,0.18,0.9956
Developmental_disorders,13,8302,0.16,48,16289,0.29,0.0545
Nephritis__nephrosis__renal_sclerosis,13,8302,0.16,7,16289,0.04,0.0065
Pulmonary_heart_disease,13,8302,0.16,7,16289,0.04,0.0065
Immunity_disorders,12,8302,0.14,8,16289,0.05,0.0247
