ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,85,55,30,15961,10561,5400,1.066,0.682,1.666,0.778,1.029,1.015,1.043,0,FALSE,TRUE
Acute_cerebrovascular_disease,158,90,68,15888,10526,5362,1.493,1.085,2.054,0.014,1.063,1.052,1.074,0,TRUE,TRUE
Adictions,217,48,169,15829,10568,5261,7.077,5.127,9.769,0,0.993,0.985,1.002,0.126,TRUE,FALSE
Adjustment_disorders,132,77,55,15914,10539,5375,1.4,0.989,1.982,0.058,1.017,1.006,1.028,0.003,FALSE,TRUE
Alcohol-related_disorders,268,165,103,15778,10451,5327,1.224,0.955,1.569,0.11,1.014,1.006,1.022,0.001,FALSE,TRUE
Allergic_rhinitis,550,382,168,15496,10234,5262,0.856,0.711,1.029,0.098,0.993,0.988,0.998,0.012,FALSE,TRUE
Anxiety_disorders,1323,788,535,14723,9828,4895,1.363,1.215,1.529,0,1.001,0.997,1.004,0.71,TRUE,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,29,17,12,16017,10599,5418,1.384,0.66,2.903,0.39,1.064,1.039,1.089,0,FALSE,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,8,5,3,16038,10611,5427,1.175,0.28,4.919,0.826,1.061,1.014,1.11,0.01,FALSE,TRUE
Asthma,224,137,87,15822,10479,5343,1.248,0.952,1.637,0.109,0.977,0.97,0.985,0,FALSE,TRUE
Atopic_dermatitis,149,86,63,15897,10530,5367,1.449,1.043,2.013,0.027,0.949,0.94,0.957,0,TRUE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,52,26,26,15994,10590,5404,1.959,1.137,3.377,0.015,1.005,0.987,1.023,0.588,TRUE,FALSE
Cardiac_and_circulatory_congenital_anomalies,8,2,6,16038,10614,5424,5.869,1.184,29.086,0.03,1.007,0.963,1.053,0.761,TRUE,FALSE
Cardiac_dysrhythmias,276,192,84,15770,10424,5346,0.851,0.654,1.106,0.227,1.072,1.063,1.08,0,FALSE,TRUE
Cataract,333,227,106,15713,10389,5324,0.909,0.715,1.156,0.437,1.088,1.08,1.097,0,FALSE,TRUE
Chronic_kidney_disease,279,162,117,15767,10454,5313,1.446,1.131,1.847,0.003,1.079,1.071,1.088,0,TRUE,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,291,148,143,15755,10468,5287,1.935,1.531,2.445,0,1.054,1.046,1.063,0,TRUE,TRUE
Chronic_ulcer_of_skin,187,108,79,15859,10508,5351,1.453,1.081,1.953,0.013,1.075,1.065,1.086,0,TRUE,TRUE
Coagulation_and_hemorrhagic_disorders,212,110,102,15834,10506,5328,1.844,1.403,2.424,0,1.056,1.046,1.065,0,TRUE,TRUE
Conduction_disorders,80,67,13,15966,10549,5417,0.377,0.208,0.684,0.001,1.037,1.022,1.052,0,TRUE,TRUE
Congestive_heart_failure__nonhypertensive,241,86,155,15805,10530,5275,3.734,2.852,4.887,0,1.071,1.062,1.08,0,TRUE,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,13,9,4,16033,10607,5426,0.868,0.266,2.836,0.814,0.902,0.874,0.932,0,FALSE,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,262,159,103,15784,10457,5327,1.279,0.994,1.647,0.056,1.063,1.054,1.071,0,FALSE,TRUE
Depression_and_Mood_disorders,824,436,388,15222,10180,5042,1.799,1.562,2.071,0,1.015,1.01,1.02,0,TRUE,TRUE
Developmental_disorders,17,15,2,16029,10601,5428,0.26,0.06,1.139,0.074,1.001,0.971,1.032,0.952,FALSE,FALSE
Diabetes,666,435,231,15380,10181,5199,1.04,0.882,1.227,0.637,1.044,1.039,1.05,0,FALSE,TRUE
Diseases_of_white_blood_cells,111,85,26,15935,10531,5404,0.596,0.384,0.926,0.021,0.999,0.987,1.011,0.85,TRUE,FALSE
Disorders_of_lipid_metabolism,1928,1342,586,14118,9274,4844,0.833,0.751,0.924,0.001,1.024,1.021,1.027,0,TRUE,TRUE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,41,30,11,16005,10586,5419,0.714,0.356,1.434,0.344,0.917,0.901,0.933,0,FALSE,TRUE
Diverticulosis_and_diverticulitis,104,76,28,15942,10540,5402,0.718,0.465,1.109,0.136,1.042,1.028,1.055,0,FALSE,TRUE
Dyspareunia,2,1,1,16044,10615,5429,1.958,0.122,31.314,0.635,0.979,0.899,1.065,0.614,FALSE,FALSE
Eating_disorders,10,2,8,16036,10614,5422,7.827,1.661,36.87,0.009,1.022,0.982,1.064,0.288,TRUE,FALSE
Epilepsy__convulsions,121,46,75,15925,10570,5355,3.218,2.226,4.653,0,1.016,1.004,1.028,0.008,TRUE,TRUE
Escleritis,7,5,2,16039,10611,5428,0.781,0.152,4.03,0.768,1.03,0.981,1.081,0.232,FALSE,FALSE
Esophageal_disorders,265,176,89,15781,10440,5341,0.988,0.764,1.278,0.926,1.014,1.006,1.022,0.001,FALSE,TRUE
