ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,60,40,20,8836,5830,3006,0.97,0.566,1.662,0.911,FALSE
Acute_cerebrovascular_disease,81,38,43,8815,5832,2983,2.212,1.427,3.43,0,TRUE
Adictions,172,29,143,8724,5841,2883,9.99,6.686,14.928,0,TRUE
Adjustment_disorders,77,48,29,8819,5822,2997,1.174,0.739,1.865,0.498,FALSE
Alcohol-related_disorders,202,126,76,8694,5744,2950,1.174,0.88,1.567,0.274,FALSE
Allergic_rhinitis,326,223,103,8570,5647,2923,0.892,0.704,1.132,0.348,FALSE
Anxiety_disorders,858,517,341,8038,5353,2685,1.315,1.138,1.519,0,TRUE
Aortic__peripheral__and_visceral_artery_aneurysms,13,8,5,8883,5862,3021,1.213,0.396,3.71,0.735,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,4,2,2,8892,5868,3024,1.94,0.273,13.78,0.507,FALSE
Asthma,119,70,49,8777,5800,2977,1.364,0.944,1.97,0.098,FALSE
Atopic_dermatitis,69,34,35,8827,5836,2991,2.009,1.25,3.227,0.004,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,32,17,15,8864,5853,3011,1.715,0.855,3.439,0.129,FALSE
Cardiac_dysrhythmias,104,78,26,8792,5792,3000,0.644,0.412,1.005,0.053,FALSE
Cataract,111,74,37,8785,5796,2989,0.97,0.652,1.442,0.879,FALSE
Chronic_kidney_disease,100,50,50,8796,5820,2976,1.956,1.318,2.901,0.001,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,173,78,95,8723,5792,2931,2.407,1.778,3.258,0,TRUE
Chronic_ulcer_of_skin,83,38,45,8813,5832,2981,2.317,1.501,3.576,0,TRUE
Coagulation_and_hemorrhagic_disorders,105,42,63,8791,5828,2963,2.95,1.992,4.37,0,TRUE
Conduction_disorders,42,34,8,8854,5836,3018,0.455,0.21,0.984,0.045,TRUE
