ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,146,103,43,8399,5570,2829,0.821,0.573,1.177,0.284,1.037,1.026,1.047,0,FALSE,TRUE
Acute_cerebrovascular_disease,39,19,20,8506,5654,2852,2.104,1.118,3.958,0.021,1.064,1.043,1.085,0,TRUE,TRUE
Adictions,69,14,55,8476,5659,2817,7.893,4.383,14.217,0,1.007,0.992,1.022,0.369,TRUE,FALSE
Adjustment_disorders,157,94,63,8388,5579,2809,1.332,0.964,1.838,0.082,1.015,1.005,1.025,0.004,FALSE,TRUE
Alcohol-related_disorders,47,17,30,8498,5656,2842,3.512,1.934,6.378,0,1.003,0.985,1.021,0.753,TRUE,FALSE
Allergic_rhinitis,435,307,128,8110,5366,2744,0.815,0.66,1.007,0.058,0.991,0.985,0.997,0.004,FALSE,TRUE
Anxiety_disorders,1157,739,418,7388,4934,2454,1.137,0.999,1.294,0.051,1.002,0.998,1.006,0.327,FALSE,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,3,1,2,8542,5672,2870,3.953,0.358,43.612,0.262,1.017,0.947,1.091,0.648,FALSE,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,4,2,2,8541,5671,2870,1.988,0.279,14.16,0.493,1.093,1.028,1.163,0.005,FALSE,TRUE
Asthma,239,144,95,8306,5529,2777,1.314,1.01,1.709,0.042,1.003,0.995,1.011,0.408,TRUE,FALSE
Atopic_dermatitis,142,106,36,8403,5567,2836,0.664,0.453,0.974,0.036,0.958,0.948,0.967,0,TRUE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,16,9,7,8529,5664,2865,1.538,0.572,4.134,0.394,0.985,0.956,1.015,0.328,FALSE,FALSE
Cardiac_and_circulatory_congenital_anomalies,4,2,2,8541,5671,2870,1.99,0.277,14.289,0.494,0.873,0.807,0.944,0.001,FALSE,TRUE
Cardiac_dysrhythmias,122,85,37,8423,5588,2835,0.857,0.58,1.267,0.44,1.049,1.037,1.06,0,FALSE,TRUE
Cataract,184,126,58,8361,5547,2814,0.904,0.652,1.253,0.543,1.091,1.08,1.102,0,FALSE,TRUE
