ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,96,66,30,4163,2758,1405,0.892,0.577,1.38,0.609,FALSE
Acute_cerebrovascular_disease,21,8,13,4238,2816,1422,3.218,1.331,7.782,0.009,TRUE
Adictions,52,9,43,4207,2815,1392,9.662,4.697,19.876,0,TRUE
Adjustment_disorders,111,64,47,4148,2760,1388,1.46,0.997,2.14,0.052,FALSE
Alcohol-related_disorders,30,13,17,4229,2811,1418,2.592,1.256,5.352,0.01,TRUE
Allergic_rhinitis,245,175,70,4014,2649,1365,0.776,0.584,1.032,0.081,FALSE
Anxiety_disorders,697,444,253,3562,2380,1182,1.147,0.969,1.359,0.112,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,2,1,1,4257,2823,1434,1.969,0.123,31.491,0.632,FALSE
Asthma,140,81,59,4119,2743,1376,1.452,1.032,2.043,0.032,TRUE
Atopic_dermatitis,65,48,17,4194,2776,1418,0.693,0.397,1.21,0.197,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,10,6,4,4249,2818,1431,1.313,0.37,4.66,0.674,FALSE
Cardiac_dysrhythmias,53,34,19,4206,2790,1416,1.101,0.626,1.937,0.738,FALSE
Cataract,55,31,24,4204,2793,1411,1.532,0.896,2.621,0.119,FALSE
Chronic_kidney_disease,56,29,27,4203,2795,1408,1.848,1.09,3.134,0.023,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,75,24,51,4184,2800,1384,4.299,2.635,7.013,0,TRUE
Chronic_ulcer_of_skin,21,7,14,4238,2817,1421,3.965,1.597,9.844,0.003,TRUE
Coagulation_and_hemorrhagic_disorders,41,21,20,4218,2803,1415,1.887,1.019,3.492,0.043,TRUE
Conduction_disorders,10,6,4,4249,2818,1431,1.313,0.37,4.66,0.674,FALSE
Congestive_heart_failure__nonhypertensive,37,1,36,4222,2823,1399,72.643,9.952,530.259,0,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,87,60,27,4172,2764,1408,0.883,0.558,1.397,0.596,FALSE
Depression_and_Mood_disorders,508,305,203,3751,2519,1232,1.361,1.125,1.646,0.001,TRUE
Diabetes,145,94,51,4114,2730,1384,1.07,0.756,1.514,0.701,FALSE
Diseases_of_white_blood_cells,38,27,11,4221,2797,1424,0.8,0.396,1.618,0.535,FALSE
Disorders_of_lipid_metabolism,711,485,226,3548,2339,1209,0.902,0.759,1.071,0.239,FALSE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,10,8,2,4249,2816,1433,0.491,0.104,2.316,0.369,FALSE
Diverticulosis_and_diverticulitis,32,22,10,4227,2802,1425,0.894,0.422,1.892,0.769,FALSE
Dyspareunia,37,27,10,4222,2797,1425,0.727,0.351,1.506,0.391,FALSE
Eating_disorders,11,6,5,4248,2818,1430,1.642,0.5,5.39,0.413,FALSE
Endometriosis,18,12,6,4241,2812,1429,0.984,0.369,2.627,0.974,FALSE
Epilepsy__convulsions,32,6,26,4227,2818,1409,8.667,3.559,21.104,0,TRUE
Escleritis,6,5,1,4253,2819,1434,0.393,0.046,3.368,0.394,FALSE
Esophageal_disorders,110,69,41,4149,2755,1394,1.174,0.794,1.738,0.421,FALSE
Female_infertility,36,24,12,4223,2800,1423,0.984,0.491,1.973,0.963,FALSE
Glaucoma,61,37,24,4198,2787,1411,1.281,0.763,2.15,0.348,FALSE
Gout,9,4,5,4250,2820,1430,2.465,0.661,9.194,0.179,FALSE
HIV-related_disease,34,7,27,4225,2817,1408,7.717,3.353,17.762,0,TRUE
Headache__including_migraine,518,325,193,3741,2499,1242,1.195,0.987,1.446,0.067,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,154,99,55,4105,2725,1380,1.097,0.784,1.535,0.589,FALSE
Heart_valve_disorders,10,4,6,4249,2820,1429,2.96,0.834,10.506,0.093,FALSE
Hepatic_steatosis_and_other_liver_diseases,75,29,46,4184,2795,1389,3.192,1.997,5.103,0,TRUE
Hepatitis,89,10,79,4170,2814,1356,16.394,8.465,31.752,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,17,7,10,4242,2817,1425,2.824,1.073,7.434,0.036,TRUE
Hypertension,511,353,158,3748,2471,1277,0.866,0.71,1.057,0.158,FALSE
Immunity_disorders,2,1,1,4257,2823,1434,1.969,0.123,31.491,0.632,FALSE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,9,4,5,4250,2820,1430,2.465,0.661,9.194,0.179,FALSE
Irritable_bowel_and_other_GI_disorders,35,24,11,4224,2800,1424,0.901,0.44,1.845,0.776,FALSE
Ischemic_heart_disease,32,10,22,4227,2814,1413,4.381,2.069,9.277,0,TRUE
Joint_disorders_and_dislocations__trauma-related,27,19,8,4232,2805,1427,0.828,0.361,1.895,0.655,FALSE
Menieres_disease,8,6,2,4251,2818,1433,0.656,0.132,3.252,0.605,FALSE
Menopausal_disorders,395,287,108,3864,2537,1327,0.719,0.571,0.906,0.005,TRUE
Menstrual_disorders,625,416,209,3634,2408,1226,0.987,0.824,1.181,0.885,FALSE
Miscellaneous_mental_health_disorders,180,126,54,4079,2698,1381,0.837,0.605,1.159,0.285,FALSE
Multiple_sclerosis,5,4,1,4254,2820,1434,0.492,0.055,4.403,0.526,FALSE
Myodesopsia_and_other_eye_disorders,63,46,17,4196,2778,1418,0.724,0.414,1.267,0.258,FALSE
Neoplasms,100,54,46,4159,2770,1389,1.699,1.14,2.53,0.009,TRUE
Neuropathy_and_other_nervous_system_disorders,222,153,69,4037,2671,1366,0.882,0.659,1.18,0.398,FALSE
Nonmalignant_breast_conditions,62,46,16,4197,2778,1419,0.681,0.384,1.207,0.188,FALSE
Obesity,210,153,57,4049,2671,1378,0.722,0.529,0.986,0.04,TRUE
Obstructive_Sleep_apnea,34,24,10,4225,2800,1425,0.819,0.39,1.717,0.596,FALSE
Osteoarthritis,227,153,74,4032,2671,1361,0.949,0.714,1.262,0.72,FALSE
Osteoporosis,127,67,60,4132,2757,1375,1.796,1.26,2.559,0.001,TRUE
Other_acquired_deformities,31,23,8,4228,2801,1427,0.683,0.305,1.53,0.354,FALSE
Other_and_ill-defined_cerebrovascular_disease,6,4,2,4253,2820,1433,0.984,0.18,5.378,0.985,FALSE
Other_and_ill-defined_heart_disease,9,4,5,4250,2820,1430,2.465,0.661,9.194,0.179,FALSE
Other_bone_disease_and_musculoskeletal_deformities,9,5,4,4250,2819,1431,1.576,0.423,5.878,0.498,FALSE
Other_circulatory_disease,29,20,9,4230,2804,1426,0.885,0.402,1.948,0.761,FALSE
Other_congenital_anomalies,15,11,4,4244,2813,1431,0.715,0.227,2.249,0.566,FALSE
Other_diseases_of_bladder_and_urethra,9,5,4,4250,2819,1431,1.576,0.423,5.878,0.498,FALSE
Other_diseases_of_veins_and_lymphatics,4,3,1,4255,2821,1434,0.656,0.068,6.31,0.715,FALSE
Other_infections__including_parasitic,3,1,2,4256,2823,1433,3.94,0.357,43.479,0.263,FALSE
Other_non-traumatic_joint_disorders,63,41,22,4196,2783,1413,1.057,0.627,1.781,0.836,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,59,42,17,4200,2782,1418,0.794,0.45,1.4,0.426,FALSE
Pancreatic_disorders__not_diabetes_,5,3,2,4254,2821,1433,1.312,0.219,7.863,0.766,FALSE
Paralysis,13,10,3,4246,2814,1432,0.59,0.162,2.145,0.423,FALSE
Parkinson_s_disease,4,2,2,4255,2822,1433,1.969,0.277,13.995,0.498,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,7,4,3,4252,2820,1432,1.477,0.33,6.608,0.61,FALSE
Peripheral_and_visceral_atherosclerosis,10,7,3,4249,2817,1432,0.843,0.218,3.265,0.805,FALSE
Personality_disorders,21,8,13,4238,2816,1422,3.218,1.331,7.782,0.009,TRUE
Prolapse_of_female_genital_organs,45,31,14,4214,2793,1421,0.888,0.471,1.674,0.713,FALSE
