ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,37,28,9,1147,759,388,0.629,0.294,1.346,0.232,FALSE
Acute_cerebrovascular_disease,15,11,4,1169,776,393,0.718,0.227,2.269,0.573,FALSE
Adjustment_disorders,15,9,6,1169,778,391,1.327,0.469,3.753,0.594,FALSE
Alcohol-related_disorders,2,1,1,1182,786,396,1.985,0.124,31.816,0.628,FALSE
Allergic_rhinitis,25,20,5,1159,767,392,0.489,0.182,1.313,0.156,FALSE
Anxiety_disorders,101,68,33,1083,719,364,0.959,0.621,1.48,0.849,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,2,1,1,1182,786,396,1.985,0.124,31.816,0.628,FALSE
Asthma,30,18,12,1154,769,385,1.332,0.635,2.793,0.449,FALSE
Cardiac_dysrhythmias,47,32,15,1137,755,382,0.926,0.496,1.732,0.811,FALSE
Cataract,127,94,33,1057,693,364,0.668,0.441,1.014,0.058,FALSE
Chronic_kidney_disease,50,32,18,1134,755,379,1.121,0.621,2.022,0.706,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,23,15,8,1161,772,389,1.058,0.445,2.518,0.898,FALSE
Chronic_ulcer_of_skin,32,19,13,1152,768,384,1.368,0.669,2.8,0.391,FALSE
Coagulation_and_hemorrhagic_disorders,21,12,9,1163,775,388,1.498,0.626,3.586,0.364,FALSE
Conduction_disorders,9,8,1,1175,779,396,0.246,0.031,1.972,0.187,FALSE
Congestive_heart_failure__nonhypertensive,41,17,24,1143,770,373,2.914,1.547,5.491,0.001,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,73,51,22,1111,736,375,0.847,0.506,1.417,0.526,FALSE
Depression_and_Mood_disorders,86,55,31,1098,732,366,1.127,0.713,1.782,0.608,FALSE
Diabetes,57,32,25,1127,755,372,1.586,0.926,2.715,0.093,FALSE
Diseases_of_white_blood_cells,8,5,3,1176,782,394,1.191,0.283,5.008,0.812,FALSE
Disorders_of_lipid_metabolism,170,118,52,1014,669,345,0.855,0.601,1.214,0.38,FALSE
Diverticulosis_and_diverticulitis,22,13,9,1162,774,388,1.381,0.585,3.259,0.461,FALSE
Dyspareunia,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Esophageal_disorders,26,19,7,1158,768,390,0.726,0.302,1.74,0.472,FALSE
Glaucoma,37,25,12,1147,762,385,0.95,0.472,1.911,0.886,FALSE
Gout,8,6,2,1176,781,395,0.659,0.132,3.28,0.611,FALSE
Headache__including_migraine,72,51,21,1112,736,376,0.806,0.478,1.36,0.419,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,54,35,19,1130,752,378,1.08,0.61,1.913,0.792,FALSE
Heart_valve_disorders,12,11,1,1172,776,396,0.178,0.023,1.384,0.099,FALSE
Hepatic_steatosis_and_other_liver_diseases,24,12,12,1160,775,385,2.013,0.896,4.522,0.09,FALSE
Hepatitis,8,1,7,1176,786,390,14.108,1.73,115.064,0.013,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,7,4,3,1177,783,394,1.49,0.332,6.692,0.602,FALSE
Hypertension,129,84,45,1055,703,352,1.07,0.729,1.571,0.73,FALSE
Immunity_disorders,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Irritable_bowel_and_other_GI_disorders,10,5,5,1174,782,392,1.995,0.574,6.931,0.277,FALSE
Ischemic_heart_disease,15,7,8,1169,780,389,2.292,0.825,6.365,0.112,FALSE
Menieres_disease,3,1,2,1181,786,395,3.98,0.36,44.022,0.26,FALSE
Menopausal_disorders,41,33,8,1143,754,389,0.47,0.215,1.027,0.058,FALSE
Menstrual_disorders,14,9,5,1170,778,392,1.103,0.367,3.312,0.862,FALSE
Miscellaneous_mental_health_disorders,22,17,5,1162,770,392,0.578,0.212,1.578,0.284,FALSE
Myodesopsia_and_other_eye_disorders,24,14,10,1160,773,387,1.427,0.628,3.241,0.396,FALSE
Neoplasms,35,22,13,1149,765,384,1.177,0.587,2.362,0.646,FALSE
Neuropathy_and_other_nervous_system_disorders,34,22,12,1150,765,385,1.084,0.531,2.213,0.825,FALSE
Nutritional_deficiencies,5,1,4,1179,786,393,8,0.891,71.813,0.063,FALSE
Obesity,41,30,11,1143,757,386,0.719,0.357,1.45,0.357,FALSE
Obstructive_Sleep_apnea,12,9,3,1172,778,394,0.658,0.177,2.445,0.532,FALSE
Osteoarthritis,104,75,29,1080,712,368,0.748,0.479,1.169,0.203,FALSE
Osteoporosis,73,41,32,1111,746,365,1.595,0.988,2.575,0.056,FALSE
Other_acquired_deformities,4,3,1,1180,784,396,0.66,0.068,6.363,0.719,FALSE
Other_circulatory_disease,7,6,1,1177,781,396,0.329,0.039,2.739,0.304,FALSE
