ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,427,284,143,24164,16005,8159,0.987,0.806,1.21,0.902,1.035,1.029,1.042,0,FALSE,TRUE
Acute_cerebrovascular_disease,344,180,164,24247,16109,8138,1.839,1.481,2.283,0,1.073,1.066,1.081,0,TRUE,TRUE
Adictions,686,157,529,23905,16132,7773,7,5.846,8.383,0,0.993,0.988,0.998,0.003,TRUE,TRUE
Adjustment_disorders,439,254,185,24152,16035,8117,1.439,1.188,1.743,0,1.02,1.014,1.026,0,TRUE,TRUE
Alcohol-related_disorders,682,364,318,23909,15925,7984,1.745,1.497,2.033,0,1.021,1.016,1.026,0,TRUE,TRUE
Allergic_rhinitis,2323,1610,713,22268,14679,7589,0.857,0.781,0.94,0.001,0.986,0.984,0.989,0,TRUE,TRUE
Anxiety_disorders,5118,3140,1978,19473,13149,6324,1.31,1.229,1.396,0,1.001,0.999,1.003,0.528,TRUE,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,56,32,24,24535,16257,8278,1.48,0.87,2.518,0.148,1.076,1.058,1.095,0,FALSE,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,21,10,11,24570,16279,8291,2.165,0.918,5.102,0.077,1.064,1.035,1.093,0,FALSE,TRUE
Asthma,1284,832,452,23307,15457,7850,1.071,0.952,1.205,0.256,0.986,0.983,0.989,0,FALSE,TRUE
Atopic_dermatitis,618,417,201,23973,15872,8101,0.946,0.797,1.123,0.525,0.961,0.956,0.965,0,FALSE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,159,76,83,24432,16213,8219,2.155,1.577,2.945,0,0.996,0.986,1.005,0.38,TRUE,FALSE
Biliary_tract_disease,16,6,10,24575,16283,8292,3.285,1.193,9.047,0.021,1.071,1.038,1.106,0,TRUE,TRUE
Cardiac_and_circulatory_congenital_anomalies,28,17,11,24563,16272,8291,1.273,0.596,2.721,0.533,0.957,0.937,0.977,0,FALSE,TRUE
Cardiac_dysrhythmias,744,481,263,23847,15808,8039,1.081,0.924,1.264,0.331,1.071,1.066,1.077,0,FALSE,TRUE
Cataract,950,601,349,23641,15688,7953,1.183,1.021,1.372,0.026,1.114,1.108,1.12,0,TRUE,TRUE
Chronic_kidney_disease,548,304,244,24043,15985,8058,1.647,1.381,1.965,0,1.086,1.079,1.092,0,TRUE,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,711,359,352,23880,15930,7950,2.032,1.744,2.369,0,1.069,1.064,1.074,0,TRUE,TRUE
Chronic_ulcer_of_skin,342,189,153,24249,16100,8149,1.628,1.308,2.026,0,1.077,1.069,1.084,0,TRUE,TRUE
Coagulation_and_hemorrhagic_disorders,543,288,255,24048,16001,8047,1.783,1.5,2.119,0,1.055,1.049,1.061,0,TRUE,TRUE
Conduction_disorders,194,147,47,24397,16142,8255,0.624,0.448,0.868,0.005,1.049,1.04,1.059,0,TRUE,TRUE
Congestive_heart_failure__nonhypertensive,461,156,305,24130,16133,7997,4.248,3.478,5.189,0,1.082,1.075,1.089,0,TRUE,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,64,42,22,24527,16247,8280,1.031,0.615,1.729,0.909,0.954,0.94,0.967,0,FALSE,TRUE
