ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,150,92,58,15896,10524,5372,1.235,0.887,1.719,0.211,1.03,1.02,1.041,0,FALSE,TRUE
Acute_cerebrovascular_disease,270,143,127,15776,10473,5303,1.787,1.398,2.283,0,1.07,1.062,1.079,0,TRUE,TRUE
Adictions,532,131,401,15514,10485,5029,6.402,5.24,7.82,0,0.988,0.983,0.994,0,TRUE,TRUE
Adjustment_disorders,179,105,74,15867,10511,5356,1.383,1.025,1.865,0.034,1.018,1.008,1.028,0,TRUE,TRUE
Alcohol-related_disorders,569,324,245,15477,10292,5185,1.502,1.268,1.78,0,1.021,1.016,1.027,0,TRUE,TRUE
Allergic_rhinitis,1270,882,388,14776,9734,5042,0.85,0.75,0.962,0.01,0.984,0.981,0.988,0,TRUE,TRUE
Anxiety_disorders,2575,1502,1073,13471,9114,4357,1.494,1.371,1.629,0,0.999,0.996,1.002,0.498,TRUE,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,50,29,21,15996,10587,5409,1.425,0.81,2.508,0.219,1.078,1.059,1.098,0,FALSE,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,14,7,7,16032,10609,5423,1.958,0.686,5.587,0.209,1.051,1.016,1.088,0.004,FALSE,TRUE
Asthma,660,432,228,15386,10184,5202,1.035,0.878,1.22,0.68,0.977,0.972,0.981,0,FALSE,TRUE
Atopic_dermatitis,310,186,124,15736,10430,5306,1.32,1.047,1.664,0.019,0.957,0.95,0.963,0,TRUE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,120,57,63,15926,10559,5367,2.175,1.518,3.117,0,0.997,0.986,1.009,0.636,TRUE,FALSE
Biliary_tract_disease,15,5,10,16031,10611,5420,3.927,1.341,11.502,0.013,1.062,1.027,1.097,0,TRUE,TRUE
Cardiac_and_circulatory_congenital_anomalies,18,10,8,16028,10606,5422,1.566,0.618,3.97,0.345,0.99,0.962,1.019,0.498,FALSE,FALSE
Cardiac_dysrhythmias,523,342,181,15523,10274,5249,1.04,0.861,1.256,0.682,1.076,1.07,1.083,0,FALSE,TRUE
Cataract,594,376,218,15452,10240,5212,1.171,0.974,1.408,0.093,1.11,1.103,1.118,0,FALSE,TRUE
Chronic_kidney_disease,392,218,174,15654,10398,5256,1.638,1.328,2.02,0,1.088,1.08,1.096,0,TRUE,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,552,292,260,15494,10324,5170,1.852,1.552,2.209,0,1.076,1.07,1.083,0,TRUE,TRUE
Chronic_ulcer_of_skin,261,148,113,15785,10468,5317,1.526,1.187,1.962,0.001,1.073,1.064,1.082,0,TRUE,TRUE
Coagulation_and_hemorrhagic_disorders,398,213,185,15648,10403,5245,1.749,1.429,2.142,0,1.059,1.052,1.066,0,TRUE,TRUE
Conduction_disorders,150,114,36,15896,10502,5394,0.613,0.421,0.894,0.011,1.042,1.031,1.053,0,TRUE,TRUE
Congestive_heart_failure__nonhypertensive,334,122,212,15712,10494,5218,3.75,2.975,4.727,0,1.082,1.074,1.091,0,TRUE,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,42,28,14,16004,10588,5416,0.981,0.515,1.868,0.954,0.942,0.927,0.958,0,FALSE,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,438,260,178,15608,10356,5252,1.363,1.12,1.659,0.002,1.06,1.053,1.067,0,TRUE,TRUE
