ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,16,8,8,4435,2949,1486,1.985,0.743,5.298,0.171,FALSE
Acute_cerebrovascular_disease,9,4,5,4442,2953,1489,2.479,0.665,9.245,0.176,FALSE
Adictions,131,56,75,4320,2901,1419,2.738,1.926,3.893,0,TRUE
Adjustment_disorders,36,16,20,4415,2941,1474,2.494,1.289,4.827,0.007,TRUE
Alcohol-related_disorders,69,37,32,4382,2920,1462,1.727,1.072,2.784,0.025,TRUE
Allergic_rhinitis,485,339,146,3966,2618,1348,0.836,0.682,1.027,0.087,FALSE
Anxiety_disorders,712,400,312,3739,2557,1182,1.687,1.433,1.987,0,TRUE
Asthma,282,191,91,4169,2766,1403,0.939,0.726,1.216,0.634,FALSE
Atopic_dermatitis,158,107,51,4293,2850,1443,0.941,0.67,1.322,0.727,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,43,18,25,4408,2939,1469,2.779,1.511,5.109,0.001,TRUE
Cardiac_and_circulatory_congenital_anomalies,6,3,3,4445,2954,1491,1.981,0.399,9.827,0.403,FALSE
Cardiac_dysrhythmias,41,30,11,4410,2927,1483,0.724,0.362,1.448,0.361,FALSE
Cataract,3,1,2,4448,2956,1492,3.962,0.359,43.723,0.261,FALSE
Chronic_kidney_disease,14,5,9,4437,2952,1485,3.578,1.197,10.696,0.022,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,9,6,3,4442,2951,1491,0.99,0.247,3.962,0.988,FALSE
Chronic_ulcer_of_skin,15,7,8,4436,2950,1486,2.269,0.821,6.268,0.114,FALSE
Coagulation_and_hemorrhagic_disorders,43,23,20,4408,2934,1474,1.731,0.948,3.162,0.074,FALSE
Conduction_disorders,24,18,6,4427,2939,1488,0.658,0.261,1.662,0.376,FALSE
Congestive_heart_failure__nonhypertensive,9,2,7,4442,2955,1487,6.955,1.443,33.522,0.016,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,27,20,7,4424,2937,1487,0.691,0.292,1.639,0.402,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,54,35,19,4397,2922,1475,1.075,0.613,1.886,0.8,FALSE
Depression_and_Mood_disorders,316,162,154,4135,2795,1340,1.983,1.575,2.496,0,TRUE
Developmental_disorders,13,9,4,4438,2948,1490,0.879,0.27,2.86,0.831,FALSE
Diabetes,54,26,28,4397,2931,1466,2.153,1.258,3.685,0.005,TRUE
Diseases_of_white_blood_cells,70,38,32,4381,2919,1462,1.681,1.046,2.702,0.032,TRUE
Disorders_of_lipid_metabolism,364,243,121,4087,2714,1373,0.984,0.784,1.236,0.891,FALSE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,60,46,14,4391,2911,1480,0.599,0.328,1.092,0.095,FALSE
Diverticulosis_and_diverticulitis,7,3,4,4444,2954,1490,2.643,0.591,11.825,0.203,FALSE
Dyspareunia,2,1,1,4449,2956,1493,1.98,0.124,31.669,0.629,FALSE
Eating_disorders,4,1,3,4447,2956,1491,5.948,0.618,57.212,0.123,FALSE
Epilepsy__convulsions,35,19,16,4416,2938,1478,1.674,0.858,3.264,0.131,FALSE
Esophageal_disorders,88,57,31,4363,2900,1463,1.078,0.693,1.677,0.739,FALSE
Glaucoma,14,6,8,4437,2951,1486,2.648,0.917,7.645,0.072,FALSE
Gout,20,13,7,4431,2944,1487,1.066,0.424,2.678,0.892,FALSE
Headache__including_migraine,640,397,243,3811,2560,1251,1.253,1.053,1.49,0.011,TRUE
Hearing_loss_and_other_ear_and_sense_organ_disorders,151,96,55,4300,2861,1439,1.139,0.813,1.596,0.449,FALSE
Heart_valve_disorders,4,2,2,4447,2955,1492,1.981,0.279,14.074,0.495,FALSE
Hepatic_steatosis_and_other_liver_diseases,31,17,14,4420,2940,1480,1.636,0.804,3.328,0.174,FALSE
Hepatitis,93,18,75,4358,2939,1419,8.63,5.14,14.49,0,TRUE
