"",ML7,ML4,ML8,ML6,ML2,ML3,ML11,ML10,ML5,ML1,ML9
Hyperplasia_of_prostate,0,0.978,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.346,0.309,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0.752,0,0,0,0,0,0,0,0
Obesity,0,0,0.476,0,0,0,0,0,0,0,0
Hypertension,0,0,0.47,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.372,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.332,0,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0,0.702,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0.412,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.367,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.31,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0.304,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,1.027,0,0,0,0,0,0
Gout,0,0,0,0,0,1.019,0,0,0,0,0
Cataract,0,0,0,0,0,0,0.493,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.375,0,0,0,0
Neoplasms,0,0,0,0,0,0,0.336,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0.334,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.332,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0.312,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0.788,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0.467,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0.999,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0.983,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0.668
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0.531
Asthma,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.902,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0
