"",ML9,ML10,ML6,ML11,ML7,ML12,ML3,ML2,ML8,ML5,ML1,ML4
Menopausal_disorders,0,0.891,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.331,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0.949,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0.77,0,0,0,0,0,0,0,0
Obesity,0,0,0,0.453,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.403,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0.316,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.306,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,1.014,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0.473,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.471,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0.407,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0.404,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0.306,0,0,0,0,0,0
Gout,0,0,0,0,0,0,1.01,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0.994,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,1.001,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,1.017,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0.986,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0.997
Allergic_rhinitis,0.44,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.504,0,0,0,0,0,0,0,0,0,0,0
Asthma,0.314,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.301,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.309,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.442,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.823,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.434,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.324,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.361,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0
