"",ML3,ML1,ML2,ML4
Menstrual_disorders,0,0.99,0,0
Headache__including_migraine,0,0.371,0,0.374
Miscellaneous_mental_health_disorders,0,0.371,0,0.36
Anxiety_disorders,0,0.347,0,0.362
Thyroid_disorders,0,0.32,0,0
Menopausal_disorders,0,0,0.995,0
Osteoporosis,0.346,0,0.472,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.601
Other_male_genital_disorders,0,0,0,0.566
Allergic_rhinitis,0,0,0,0.345
Sexual_disorders,0,0,0,0.314
Alcohol-related_disorders,0,0,0,0
Asthma,0,0,0,0
Atopic_dermatitis,0,0,0,0
Cardiac_dysrhythmias,0.542,0,0,0
Cataract,0.685,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.571,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.498,0,0,0
Depression_and_Mood_disorders,0,0,0,0
Diabetes,0.63,0,0,0
Disorders_of_lipid_metabolism,0.52,0,0,0
Esophageal_disorders,0,0,0,0
Glaucoma,0.521,0,0,0
Gout,0.515,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.301,0,0,0
Hyperplasia_of_prostate,0.678,0,0,0
Hypertension,0.715,0,0,0
Ischemic_heart_disease,0.573,0,0,0
Neoplasms,0.5,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0
Obesity,0.395,0,0,0
Osteoarthritis,0.535,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,0,0,0
Urinary_incontinence,0.577,0,0,0
Vision_defects,0,0,0,0
