"",ML3,ML2,ML1
Menstrual_disorders,0,0.827,0
Headache__including_migraine,0,0.491,0
Anxiety_disorders,0,0.466,0
Miscellaneous_mental_health_disorders,0,0.459,0
Menopausal_disorders,0.515,0.361,0
Allergic_rhinitis,0,0.356,0
Thyroid_disorders,0,0.339,0
Depression_and_Mood_disorders,0.412,0.309,0
Diabetes,0,0,0.79
Hypertension,0,0,0.686
Obesity,0,0,0.662
Disorders_of_lipid_metabolism,0,0,0.447
Asthma,0,0,0
Cataract,0.549,0,0
Esophageal_disorders,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.371,0,0
Neuropathy_and_other_nervous_system_disorders,0.367,0,0
Osteoarthritis,0.6,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.567,0,0
Urinary_incontinence,0.338,0,0
Vision_defects,0,0,0
