"",ML10,ML2,ML7,ML5,ML1,ML6,ML4,ML8,ML9,ML3
Menstrual_disorders,0,0.989,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0.353,0,0,0,0,0,0.331,0,0
Miscellaneous_mental_health_disorders,0,0.306,0,0,0,0,0,0.337,0,0
Thyroid_disorders,0.35,0.301,0,0,0,0,0,0,0,0
Diabetes,0,0,0.612,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0.444,0,0,0,0,0,0,0
Hypertension,0,0,0.438,0,0,0.417,0,0,0,0
Chronic_kidney_disease,0,0,0.41,0,0,0,0,0,0,0
Obesity,0,0,0.381,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0.997,0,0,0,0,0,0
Osteoporosis,0.305,0,0,0.41,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.981,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0.404,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,1.002,0,0,0,0
Adictions,0,0,0,0,0,0,0.982,0,0,0
Hepatitis,0,0,0,0,0,0,0.472,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0.304,0.372,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0.616,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0.437,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.418,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.705,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0.495,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0.99
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0
Cataract,0.49,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.408,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Glaucoma,0.307,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0.514,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.324,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0
