"",ML8,ML9,ML5,ML6,ML7,ML4,ML2,ML1,ML10,ML3,ML11
Cardiac_dysrhythmias,0,0.856,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.482,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.311,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0.965,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.334,0,0,0,0,0,0.364,0,0
Thyroid_disorders,0,0,0.308,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0.973,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0.388,0,0,0,0,0,0,0
Adictions,0,0,0,0,0.917,0,0,0,0,0,0
Hepatitis,0,0,0,0,0.548,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0.345,0,0,0,0.36,0,0
Depression_and_Mood_disorders,0,0,0,0,0.339,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0.976,0,0,0,0,0
Hypertension,0.387,0,0,0,0,0.434,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0.986,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0.303,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0.93,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0.586,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0.47,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0.379,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0.369,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0.992,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0.571
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0.36
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.334,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.566,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.469,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.356,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.306,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.449,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0
