"",ML1,ML2,ML4,ML3
Miscellaneous_mental_health_disorders,0,0.582,0,0
Headache__including_migraine,0,0.537,0,0
Menstrual_disorders,0,0.528,0,0
Allergic_rhinitis,0,0.523,0,0
Anxiety_disorders,0,0.507,0,0.31
Asthma,0,0.389,0,0
Menopausal_disorders,0,0.385,0,0
Depression_and_Mood_disorders,0,0.382,0,0.337
Adjustment_disorders,0,0.366,0,0
Esophageal_disorders,0,0.335,0,0
Obesity,0.361,0.327,0,0
Thyroid_disorders,0,0.321,0,0
Atopic_dermatitis,0,0.305,0,0
Vision_defects,0,0.305,0,0
Other_male_genital_disorders,0,0,0.749,0
Inflammatory_conditions_of_male_genital_organs,0,0,0.685,0
Sexual_disorders,0,0,0.388,0
Adictions,0,0,0,0.886
Hepatitis,0,0,0,0.62
Hepatic_steatosis_and_other_liver_diseases,0.31,0,0,0.348
Alcohol-related_disorders,0,0,0,0.337
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.521,0,0,0.305
Cardiac_dysrhythmias,0.705,0,0,0
Cataract,0.705,0,0,0
Chronic_kidney_disease,0.671,0,0,0
Coagulation_and_hemorrhagic_disorders,0.531,0,0,0
Congestive_heart_failure__nonhypertensive,0.68,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.503,0,0,0
Diabetes,0.629,0,0,0
Disorders_of_lipid_metabolism,0.508,0,0,0
Glaucoma,0.462,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.326,0,0,0
Hyperplasia_of_prostate,0.604,0,0,0
Hypertension,0.708,0,0,0
Ischemic_heart_disease,0.578,0,0,0
Neoplasms,0.393,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0
Osteoarthritis,0.587,0,0,0
Osteoporosis,0.481,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.362,0,0,0
Urinary_incontinence,0.541,0,0,0
