"",ML7,ML3,ML1,ML5,ML4,ML2,ML6
Hypertension,0,0.852,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.779,0,0,0,0,0
Diabetes,0,0.56,0,0,0,0,0
Chronic_kidney_disease,0,0.539,0,0,0,0,0
Obesity,0,0.482,0,0,0,0,0
Ischemic_heart_disease,0,0.479,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.367,0,0.327,0,0,0
Cardiac_dysrhythmias,0.465,0.337,0,0,0,0,0
Menstrual_disorders,0,0,0.991,0,0,0,0
Sexual_disorders,0,0,0,0.465,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.413,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.413,0,0,0
Other_male_genital_disorders,0,0,0,0.389,0,0,0
Allergic_rhinitis,0,0,0,0.366,0,0,0
Headache__including_migraine,0,0,0,0.349,0,0,0
Anxiety_disorders,0,0,0,0.344,0.325,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.325,0,0,0
Adictions,0,0,0,0,0.935,0,0
Hepatitis,0,0,0,0,0.593,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0.317,0,0
Depression_and_Mood_disorders,0,0,0,0,0.316,0,0
Menopausal_disorders,0,0,0,0,0,0.983,0
Osteoporosis,0.394,0,0,0,0,0.359,0
Atopic_dermatitis,0,0,0,0,0,0,0.786
Adjustment_disorders,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Cataract,0.613,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.411,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.409,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.551,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Glaucoma,0.347,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.363,0,0,0,0,0,0
Hyperplasia_of_prostate,0.477,0,0,0,0,0,0
Neoplasms,0.302,0,0,0,0,0,0
Osteoarthritis,0.396,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.331,0,0,0,0,0,0
Thyroid_disorders,0.316,0,0,0,0,0,0
Urinary_incontinence,0.567,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
