"",ML9,ML7,ML3,ML8,ML4,ML2,ML12,ML11,ML5,ML6,ML1,ML10,ML13
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.993,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.442,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.983,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,1.011,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0.977,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0.637,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0.601,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0.762,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0.468,0,0,0,0,0
Diabetes,0.499,0,0,0,0,0,0,0.38,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,1.009,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0.977,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0.978,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0.762,0
Asthma,0,0,0,0,0,0,0,0,0,0,0,0.43,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0.351,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0.315
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.306
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.302
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.53,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.547,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
