"",ML1,ML2
Anxiety_disorders,0,0.592
Neuropathy_and_other_nervous_system_disorders,0,0.514
Miscellaneous_mental_health_disorders,0,0.497
Headache__including_migraine,0,0.462
Depression_and_Mood_disorders,0,0.447
Allergic_rhinitis,0,0.437
Asthma,0,0.377
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.364
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.347
Osteoarthritis,0,0.332
Sexual_disorders,0,0.325
Esophageal_disorders,0,0.322
Vision_defects,0,0.32
Alcohol-related_disorders,0,0
Cardiac_dysrhythmias,0.358,0
Diabetes,0.811,0
Disorders_of_lipid_metabolism,0.49,0
Glaucoma,0,0
Gout,0.397,0
Hepatic_steatosis_and_other_liver_diseases,0.367,0
Hyperplasia_of_prostate,0,0
Hypertension,0.572,0
Inflammatory_conditions_of_male_genital_organs,0.308,0
Ischemic_heart_disease,0.431,0
Obesity,0.611,0
Obstructive_Sleep_apnea,0.465,0
Other_male_genital_disorders,0.358,0
Psoriasis_and_other_inflammatory,0,0
Thyroid_disorders,0.326,0
