"",ML3,ML2,ML1
Diabetes,0,0.825,0
Obesity,0,0.52,0
Hypertension,0,0.46,0
Ischemic_heart_disease,0,0.452,0
Other_male_genital_disorders,0,0.424,0
Disorders_of_lipid_metabolism,0,0.392,0
Cardiac_dysrhythmias,0,0.379,0
Obstructive_Sleep_apnea,0,0.379,0
Inflammatory_conditions_of_male_genital_organs,0,0.357,0
Thyroid_disorders,0,0.314,0
Gout,0,0,0.99
Alcohol-related_disorders,0,0,0
Allergic_rhinitis,0.46,0,0
Anxiety_disorders,0.587,0,0
Asthma,0.402,0,0
Depression_and_Mood_disorders,0.44,0,0
Esophageal_disorders,0.338,0,0
Glaucoma,0,0,0
Headache__including_migraine,0.457,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.357,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0
Hyperplasia_of_prostate,0,0,0
Miscellaneous_mental_health_disorders,0.503,0,0
Neuropathy_and_other_nervous_system_disorders,0.511,0,0
Osteoarthritis,0.359,0,0
Psoriasis_and_other_inflammatory,0,0,0
Sexual_disorders,0.326,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.374,0,0
Vision_defects,0.335,0,0
