"",ML6,ML5,ML2,ML1,ML3,ML4
Diabetes,0,0.828,0,0,0,0
Obesity,0,0.486,0,0,0,0
Hypertension,0,0.386,0,0,0,0
Other_male_genital_disorders,0,0.368,0,0,0,0
Glaucoma,0,0.363,0,0,0,0
Disorders_of_lipid_metabolism,0.329,0.355,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.339,0,0,0,0
Obstructive_Sleep_apnea,0,0.332,0,0,0,0
Ischemic_heart_disease,0,0.309,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,1.004,0,0,0
Headache__including_migraine,0,0,0.463,0,0,0
Gout,0,0,0,0.991,0,0
Cardiac_dysrhythmias,0,0,0,0,0.996,0
Alcohol-related_disorders,0,0,0,0,0,1
Allergic_rhinitis,0.483,0,0,0,0,0
Anxiety_disorders,0.483,0,0,0,0,0
Asthma,0.418,0,0,0,0,0
Depression_and_Mood_disorders,0.369,0,0,0,0,0
Esophageal_disorders,0.366,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.318,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0
Hyperplasia_of_prostate,0.343,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.449,0,0,0,0,0
Osteoarthritis,0.357,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.483,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
