"",ML6,ML5,ML3,ML8,ML4,ML1,ML2,ML7,ML9
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1.006,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,1.007,0,0,0,0,0,0
Headache__including_migraine,0,0,0.457,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.71,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0.598,0,0,0,0,0
Diabetes,0.448,0,0,0.368,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.997,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,1.007,0,0,0
Gout,0,0,0,0,0,0,0.993,0,0
Asthma,0,0,0,0,0,0,0,0.558,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.542,0
Anxiety_disorders,0,0,0,0,0,0,0,0.354,0.309
Esophageal_disorders,0,0,0,0,0,0,0,0.345,0
Hypertension,0.398,0,0,0,0,0,0,0,0.364
Glaucoma,0,0,0,0,0,0,0,0,0.341
Thyroid_disorders,0,0,0,0,0,0,0,0,0.331
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0
Obesity,0.616,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.515,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0
