"",ML1,ML4,ML3,ML2,ML5
Alcohol-related_disorders,0,0.622,0,0,0
Depression_and_Mood_disorders,0,0.549,0,0,0
Anxiety_disorders,0,0.378,0.356,0,0
Allergic_rhinitis,0,0,0.613,0,0
Asthma,0,0,0.53,0,0
Esophageal_disorders,0,0,0.335,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.837,0
Osteoarthritis,0,0,0,0.304,0
Thyroid_disorders,0,0,0,0,0.454
Diabetes,0.771,0,0,0,0
Disorders_of_lipid_metabolism,0.484,0,0,0,0
Headache__including_migraine,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hypertension,0.602,0,0,0,0
Obesity,0.671,0,0,0,0
Other_male_genital_disorders,0.329,0,0,0,0
Sexual_disorders,0,0,0,0,0
Vision_defects,0,0,0,0,0
