"",ML2,ML1,ML4,ML3,ML5,ML7,ML6
Depression_and_Mood_disorders,0,0.929,0,0,0,0,0
Alcohol-related_disorders,0,0.346,0,0,0,0,0
Allergic_rhinitis,0,0,0.835,0,0,0,0
Asthma,0,0,0.35,0,0,0,0
Esophageal_disorders,0,0,0.307,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.906,0,0,0
Vision_defects,0,0,0,0,0.609,0,0
Anxiety_disorders,0,0,0,0,0.334,0,0
Headache__including_migraine,0,0,0,0,0.313,0,0
Other_male_genital_disorders,0,0,0,0,0,0.489,0
Sexual_disorders,0,0,0,0,0,0.427,0
Diabetes,0.573,0,0,0,0,0.342,0
Thyroid_disorders,0,0,0,0,0,0,0.481
Disorders_of_lipid_metabolism,0.386,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hypertension,0.561,0,0,0,0,0,0
Obesity,0.756,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
