"",ML2,ML3,ML1,ML4,ML6,ML5,ML8,ML7
Depression_and_Mood_disorders,0,0.862,0,0,0,0,0,0
Alcohol-related_disorders,0,0.387,0,0,0,0,0,0
Osteoarthritis,0,0,0.991,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.784,0,0,0,0
Asthma,0,0,0,0.368,0,0,0,0
Esophageal_disorders,0,0,0,0.35,0,0,0,0
Vision_defects,0,0,0,0,0.601,0,0,0
Anxiety_disorders,0,0,0,0,0.352,0,0,0
Headache__including_migraine,0,0,0,0,0.316,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.855,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0.488,0
Sexual_disorders,0,0,0,0,0,0,0.419,0
Diabetes,0.602,0,0,0,0,0,0.323,0
Thyroid_disorders,0,0,0,0,0,0,0,0.46
Disorders_of_lipid_metabolism,0.396,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Hypertension,0.57,0,0,0,0,0,0,0
Obesity,0.735,0,0,0,0,0,0,0
