"",ML6,ML3,ML2,ML9,ML5,ML4,ML7,ML1,ML8,ML10
Hypertension,0,0.95,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.475,0,0.343,0,0,0,0,0,0
Chronic_kidney_disease,0,0.454,0,0,0,0,0,0,0,0
Adictions,0,0,0.979,0,0,0,0,0,0,0
Hepatitis,0,0,0.482,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0.692,0,0,0,0,0,0
Gout,0,0,0,0.457,0,0,0,0,0,0
Osteoarthritis,0,0,0,0.429,0,0,0,0,0,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0.952,0,0,0,0,0
Obesity,0,0,0,0,0.347,0.307,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0.974,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0.309,0,0,0,0
Diabetes,0,0,0,0,0,0,0.779,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0.981,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0.674,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.564,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0.325,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0.591
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.41
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.397,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.402,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.346,0,0,0,0,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.359,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.313,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.492,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0.444,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.357,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.48,0,0,0,0,0,0,0,0,0
Vision_defects,0.448,0,0,0,0,0,0,0,0,0
