"",ML13,ML12,ML8,ML14,ML9,ML2,ML11,ML10,ML4,ML5,ML1,ML3,ML7,ML6
Adictions,0,0.969,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0,0.476,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,1.007,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0.381,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0.333,0.376,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0.981,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.994,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.378,0,0,0.337,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0.978,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0.343,0,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0.978,0,0,0,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0,0,0,0,0,0,0.907,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
Chronic_kidney_disease,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
