"",ML10,ML13,ML2,ML7,ML3,ML9,ML4,ML5,ML1,ML8,ML12,ML11,ML6,ML14,ML15
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.353,0,0,0,0,0,0.336,0,0,0,0,0,0,0
Sexual_disorders,0,0.347,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0
Adictions,0,0,0.964,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0,0,0.454,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,1.003,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,0.542
Miscellaneous_mental_health_disorders,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0.992,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0.993,0,0,0,0,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0,0,0,0,0,0,0.868,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.958,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756,0
Congestive_heart_failure__nonhypertensive,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
