"",ML4,ML5,ML3,ML6,ML2,ML1
Other_male_genital_disorders,0,0.521,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.515,0,0,0,0
Anxiety_disorders,0,0.471,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.46,0,0,0,0
Allergic_rhinitis,0,0.427,0,0,0,0
Miscellaneous_mental_health_disorders,0,0.425,0,0,0,0
Headache__including_migraine,0,0.384,0,0,0,0
Esophageal_disorders,0,0.378,0,0,0,0
Sexual_disorders,0,0.356,0,0,0,0
Vision_defects,0,0.349,0,0,0,0
Depression_and_Mood_disorders,0,0.343,0,0,0,0
Asthma,0,0.34,0,0,0,0
Disorders_of_lipid_metabolism,0,0.327,0,0,0,0
Adictions,0,0,0.96,0,0,0
Hepatitis,0,0,0.443,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0.675,0,0
Alcohol-related_disorders,0,0,0,0.4,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.358,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.315,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0.988,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0,0.974
Obesity,0.42,0,0,0,0,0.367
Acute_cerebrovascular_disease,0,0,0,0,0,0
Chronic_kidney_disease,0.681,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.397,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.812,0,0,0,0,0
Diabetes,0.498,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0
Gout,0.446,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hypertension,0.703,0,0,0,0,0
Ischemic_heart_disease,0.418,0,0,0,0,0
Neoplasms,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
