"",ML3,ML1,ML2
Congestive_heart_failure__nonhypertensive,0,1.009,0
Hypertension,0.396,0.5,0
Ischemic_heart_disease,0,0.389,0
Coagulation_and_hemorrhagic_disorders,0,0.355,0
Adictions,0,0,0.999
Hepatitis,0,0,0.505
Anxiety_disorders,0.377,0,0.336
Alcohol-related_disorders,0,0,0
Allergic_rhinitis,0.343,0,0
Asthma,0.339,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.422,0,0
Depression_and_Mood_disorders,0.423,0,0
Diabetes,0.406,0,0
Disorders_of_lipid_metabolism,0.553,0,0
Esophageal_disorders,0.461,0,0
Headache__including_migraine,0.319,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.368,0,0
Hepatic_steatosis_and_other_liver_diseases,0.333,0,0
Inflammatory_conditions_of_male_genital_organs,0.38,0,0
Neoplasms,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.496,0,0
Obesity,0.405,0,0
Osteoarthritis,0.357,0,0
Other_male_genital_disorders,0.349,0,0
Psoriasis_and_other_inflammatory,0,0,0
Sexual_disorders,0.403,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.436,0,0
Thyroid_disorders,0.373,0,0
Vision_defects,0.313,0,0
