"",ML4,ML2,ML3,ML5,ML1
Congestive_heart_failure__nonhypertensive,0,1.01,0,0,0
Hypertension,0,0.536,0,0.304,0
Ischemic_heart_disease,0,0.42,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.361,0,0,0
Adictions,0,0,0.989,0,0
Hepatitis,0,0,0.49,0,0
Anxiety_disorders,0.525,0,0.31,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0.612,0
Diabetes,0,0,0,0.525,0
Esophageal_disorders,0.418,0,0,0.345,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.996
Alcohol-related_disorders,0,0,0,0,0
Allergic_rhinitis,0.532,0,0,0,0
Asthma,0.432,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0
Depression_and_Mood_disorders,0.413,0,0,0,0
Disorders_of_lipid_metabolism,0.402,0,0,0,0
Headache__including_migraine,0.336,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.454,0,0,0,0
Neoplasms,0,0,0,0,0
Obesity,0,0,0,0,0
Osteoarthritis,0,0,0,0,0
Other_male_genital_disorders,0.376,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.358,0,0,0,0
Thyroid_disorders,0,0,0,0,0
Vision_defects,0.317,0,0,0,0
