"",ML4,ML3,ML5,ML2,ML1,ML6,ML7
Adictions,0,0.996,0,0,0,0,0
Hepatitis,0,0.509,0,0,0,0,0
Anxiety_disorders,0,0.33,0.417,0,0,0,0
Allergic_rhinitis,0,0,0.619,0,0,0,0
Asthma,0,0,0.53,0,0,0,0
Esophageal_disorders,0,0,0.303,0,0,0.309,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.997,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.347,0,0,0.42
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,1.007,0,0
Other_male_genital_disorders,0,0,0,0,0.333,0,0
Diabetes,0,0,0,0,0,0.594,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.493,0
Hypertension,0.461,0,0,0,0,0.461,0
Obesity,0,0,0,0,0,0.364,0
Neoplasms,0,0,0,0,0,0,0.651
Alcohol-related_disorders,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.38,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,1,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Ischemic_heart_disease,0.409,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
