"",ML4,ML3,ML5,ML2,ML8,ML7,ML1,ML6
Adictions,0,0.991,0,0,0,0,0,0
Hepatitis,0,0.497,0,0,0,0,0,0
Anxiety_disorders,0,0.321,0,0,0,0.423,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0.938,0,0,0,0,0
Other_male_genital_disorders,0,0,0.351,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.999,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.322,0,0,0,0
Neoplasms,0,0,0,0,0.526,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0.44,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0.417,0,0,0.369
Alcohol-related_disorders,0,0,0,0,0.305,0,0,0
Allergic_rhinitis,0,0,0,0,0,0.591,0,0
Asthma,0,0,0,0,0,0.488,0,0
Headache__including_migraine,0,0,0,0,0,0.315,0,0
Osteoarthritis,0,0,0,0,0,0,1.008,0
Hypertension,0.396,0,0,0,0,0,0,0.569
Diabetes,0,0,0,0,0,0,0,0.512
Obesity,0,0,0,0,0,0,0,0.361
Coagulation_and_hemorrhagic_disorders,0.378,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.987,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.417,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
