"",ML11,ML10,ML1,ML6,ML9,ML2,ML5,ML3,ML7,ML4,ML8
Chronic_kidney_disease,0,0.602,0,0,0,0,0,0,0,0,0
Conduction_disorders,0,0.575,0,0,0,0,0,0,0,0,0
Hypertension,0,0.487,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.353,0,0,0.393,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.342,0.526,0,0,0,0,0,0,0,0
Gout,0,0.322,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0.304,0.545,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.979,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.967,0,0,0,0,0,0,0
Diabetes,0,0,0,0.427,0,0,0.346,0,0,0,0
Cataract,0,0,0,0.301,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0.965,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0.506,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0.977,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,1.001,0,0,0,0
Other_male_genital_disorders,0.319,0,0,0,0,0,0.312,0,0,0,0
Asthma,0,0,0,0,0,0,0,0.982,0,0,0
Allergic_rhinitis,0.393,0,0,0,0,0,0,0.329,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0.972,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.32,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0.965,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0.992
Anxiety_disorders,0.341,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.381,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.407,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.516,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.31,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.354,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.399,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.516,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.474,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0
