"",ML15,ML7,ML19,ML20,ML16,ML18,ML9,ML2,ML6,ML13,ML3,ML5,ML17,ML11,ML4,ML8,ML1,ML10,ML12,ML14
Acute_cerebrovascular_disease,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.441,0,0,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0
Conduction_disorders,0,0,0,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.496,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
