"",ML2,ML3,ML1
Congestive_heart_failure__nonhypertensive,0,0.73,0
Coagulation_and_hemorrhagic_disorders,0,0.707,0
Cardiac_dysrhythmias,0,0.661,0
Chronic_ulcer_of_skin,0,0.547,0
Urinary_incontinence,0,0.466,0
Chronic_kidney_disease,0,0.41,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.395,0
Ischemic_heart_disease,0,0.386,0
Acute_cerebrovascular_disease,0,0.379,0
Hypertension,0.416,0.335,0
Transient_cerebral_ischemia,0,0.313,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.997
Conduction_disorders,0,0,0.398
Diabetes,0,0,0.379
Allergic_rhinitis,0.467,0,0
Anxiety_disorders,0.514,0,0
Asthma,0,0,0
Cataract,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.327,0,0
Depression_and_Mood_disorders,0.451,0,0
Disorders_of_lipid_metabolism,0.458,0,0
Diverticulosis_and_diverticulitis,0.444,0,0
Esophageal_disorders,0.512,0,0
Glaucoma,0.334,0,0
Gout,0,0,0
Headache__including_migraine,0.433,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.381,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0
Hyperplasia_of_prostate,0.383,0,0
Inflammatory_conditions_of_male_genital_organs,0.316,0,0
Myodesopsia_and_other_eye_disorders,0.336,0,0
Neoplasms,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.362,0,0
Obesity,0.321,0,0
Obstructive_Sleep_apnea,0.314,0,0
Osteoarthritis,0.446,0,0
Other_male_genital_disorders,0.553,0,0
Other_non-traumatic_joint_disorders,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.364,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0
Psoriasis_and_other_inflammatory,0,0,0
Sexual_disorders,0.404,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.428,0,0
Thyroid_disorders,0,0,0
Vision_defects,0.337,0,0
