"",ML4,ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.73,0,0
Coagulation_and_hemorrhagic_disorders,0,0.718,0,0
Cardiac_dysrhythmias,0,0.659,0,0
Chronic_ulcer_of_skin,0,0.538,0,0
Urinary_incontinence,0,0.459,0,0
Chronic_kidney_disease,0,0.409,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.31,0.391,0,0
Ischemic_heart_disease,0,0.377,0,0
Acute_cerebrovascular_disease,0,0.373,0,0
Hypertension,0.387,0.326,0,0
Transient_cerebral_ischemia,0,0.308,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.993,0
Conduction_disorders,0,0,0.408,0
Diabetes,0,0,0.374,0
Other_non-traumatic_joint_disorders,0,0,0.306,0
Disorders_of_lipid_metabolism,0.424,0,0.305,0
Cataract,0,0,0.303,0
Diverticulosis_and_diverticulitis,0,0,0,0.993
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0.301
Allergic_rhinitis,0.448,0,0,0
Anxiety_disorders,0.442,0,0,0
Asthma,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0
Depression_and_Mood_disorders,0.354,0,0,0
Esophageal_disorders,0.467,0,0,0
Glaucoma,0.341,0,0,0
Gout,0,0,0,0
Headache__including_migraine,0.448,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.392,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0
Hyperplasia_of_prostate,0.368,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.42,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0
Neoplasms,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.335,0,0,0
Obesity,0.313,0,0,0
Obstructive_Sleep_apnea,0,0,0,0
Osteoarthritis,0.356,0,0,0
Other_male_genital_disorders,0.588,0,0,0
Peripheral_and_visceral_atherosclerosis,0.319,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Sexual_disorders,0.317,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.414,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0.381,0,0,0
