"",ML8,ML9,ML1,ML4,ML7,ML3,ML5,ML6,ML2
Urinary_incontinence,0,0.542,0,0,0,0,0,0.309,0
Congestive_heart_failure__nonhypertensive,0,0.44,0.503,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.439,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0.428,0,0,0,0,0,0,0
Conduction_disorders,0,0.422,0,0.367,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.409,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.377,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0.371,0,0,0,0,0,0.425,0
Hypertension,0,0.342,0,0,0,0,0,0,0
Gout,0,0.324,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0.313,0.506,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.305,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.97,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.982,0,0,0,0,0
Diabetes,0,0,0,0.435,0.335,0,0,0,0
Disorders_of_lipid_metabolism,0.386,0,0,0.311,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,1,0,0,0,0
Other_male_genital_disorders,0.311,0,0,0,0.309,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0.993,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,1.008,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0.335,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0.972,0
Asthma,0,0,0,0,0,0,0,0,0.977
Allergic_rhinitis,0.452,0,0,0,0,0,0,0,0.315
Anxiety_disorders,0.35,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.449,0,0,0,0,0,0,0,0
Esophageal_disorders,0.522,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.304,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.34,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0
Obesity,0.347,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.402,0,0,0,0,0,0,0,0
Osteoarthritis,0.333,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.595,0,0,0,0,0,0,0,0
Sexual_disorders,0.452,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0
Vision_defects,0.328,0,0,0,0,0,0,0,0
