"",ML1,ML14,ML15,ML3,ML11,ML2,ML10,ML5,ML8,ML6,ML4,ML12,ML9,ML7,ML13
Sexual_disorders,0,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.427,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.619,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.423,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0.38,0,0,0,0,0,0,0.302,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,1.011,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,1.012,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,1.005,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,1.002,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0.966,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,0
Coagulation_and_hemorrhagic_disorders,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
