"",ML3,ML5,ML4,ML1,ML2
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.62,0,0,0
Esophageal_disorders,0,0.549,0,0,0
Allergic_rhinitis,0,0.45,0,0,0
Anxiety_disorders,0,0.443,0,0,0
Hyperplasia_of_prostate,0,0.436,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.399,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.382,0.368,0,0
Glaucoma,0,0.36,0,0,0
Osteoarthritis,0,0.355,0,0,0
Depression_and_Mood_disorders,0,0.349,0,0,0
Other_male_genital_disorders,0.364,0.345,0,0,0
Cataract,0,0.338,0.322,0,0
Headache__including_migraine,0,0.332,0,0,0
Urinary_incontinence,0,0,0.58,0,0
Chronic_ulcer_of_skin,0,0,0.55,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.461,0.431,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.325,0,0
Chronic_kidney_disease,0.395,0,0.324,0,0
Cardiac_dysrhythmias,0,0,0.307,0.488,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0.982,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0.992
Acute_cerebrovascular_disease,0,0,0,0,0
Diabetes,0.58,0,0,0,0
Disorders_of_lipid_metabolism,0.483,0,0,0,0
Gout,0.397,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0
Hypertension,0.547,0,0,0,0
Ischemic_heart_disease,0.381,0,0,0,0
Neoplasms,0,0,0,0,0
Obesity,0.625,0,0,0,0
Obstructive_Sleep_apnea,0.52,0,0,0,0
Psoriasis_and_other_inflammatory,0.413,0,0,0,0
Sexual_disorders,0.32,0,0,0,0
Thyroid_disorders,0,0,0,0,0
Vision_defects,0,0,0,0,0
