"",ML4,ML6,ML5,ML1,ML3,ML2
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.628,0,0,0,0
Esophageal_disorders,0,0.515,0,0,0,0
Allergic_rhinitis,0,0.452,0,0,0,0
Anxiety_disorders,0,0.433,0,0,0,0
Hyperplasia_of_prostate,0,0.415,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.392,0,0,0,0
Osteoarthritis,0,0.374,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.364,0.481,0,0,0
Depression_and_Mood_disorders,0,0.346,0,0,0,0
Headache__including_migraine,0,0.334,0,0,0,0
Other_male_genital_disorders,0.388,0.334,0,0,0,0
Glaucoma,0,0.332,0,0,0,0
Cataract,0,0.324,0,0,0,0
Urinary_incontinence,0,0,0.728,0,0,0
Chronic_ulcer_of_skin,0,0,0.538,0,0,0
Acute_cerebrovascular_disease,0,0,0.527,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0.931,0,0
Cardiac_dysrhythmias,0,0,0,0.429,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.934,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0.994
Chronic_kidney_disease,0.385,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0
Diabetes,0.568,0,0,0,0,0
Disorders_of_lipid_metabolism,0.48,0,0,0,0,0
Gout,0.4,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0
Hypertension,0.535,0,0,0,0,0
Ischemic_heart_disease,0.367,0,0,0,0,0
Neoplasms,0,0,0,0,0,0
Obesity,0.614,0,0,0,0,0
Obstructive_Sleep_apnea,0.494,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.417,0,0,0,0,0
Sexual_disorders,0.311,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
