"",ML7,ML5,ML6,ML4,ML3,ML1,ML2,ML8
Diabetes,0,0.681,0,0,0,0,0,0
Hypertension,0,0.539,0,0,0,0,0,0
Obesity,0,0.539,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.442,0,0,0,0,0,0
Gout,0,0.44,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0.432,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0.406,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.403,0,0,0,0,0,0
Chronic_kidney_disease,0,0.342,0,0.323,0,0,0,0
Other_male_genital_disorders,0,0.338,0,0,0,0,0,0
Urinary_incontinence,0,0,0.709,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.553,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0.543,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.372,0,0.488,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.938,0,0,0,0
Ischemic_heart_disease,0,0,0,0.36,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,1.001,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.891,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.348,0,0.369
Vision_defects,0,0,0,0,0,0,1.005,0
Cataract,0,0,0,0,0,0,0,0.357
Glaucoma,0,0,0,0,0,0,0,0.304
Allergic_rhinitis,0.475,0,0,0,0,0,0,0
Anxiety_disorders,0.48,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.347,0,0,0,0,0,0,0
Esophageal_disorders,0.577,0,0,0,0,0,0,0
Headache__including_migraine,0.341,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.408,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0.383,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0
Osteoarthritis,0.335,0,0,0,0,0,0,0
Sexual_disorders,0.3,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.579,0,0,0,0,0,0,0
Thyroid_disorders,0.335,0,0,0,0,0,0,0
