"",ML9,ML3,ML10,ML6,ML8,ML2,ML5,ML1,ML7,ML4
Congestive_heart_failure__nonhypertensive,0,1.004,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.49,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.394,0,0,0,0,0.32,0,0,0
Cardiac_dysrhythmias,0,0.387,0.358,0,0,0,0,0,0,0
Heart_valve_disorders,0,0.33,0,0.351,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.318,0.386,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.302,0,0,0.467,0,0,0,0,0
Gout,0,0,0.597,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0.536,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0.478,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0.362,0,0,0,0,0,0,0
Osteoarthritis,0,0,0.338,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.94,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0.427,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.404,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.377,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0.969,0,0,0,0,0
Hypertension,0.383,0,0,0,0.402,0,0,0,0,0
Diabetes,0,0,0,0,0.306,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.957,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0.441,0,0,0,0
Obesity,0,0,0,0,0,0.33,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.989,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0.323,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0.907,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0.321,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0.922,0
Cataract,0,0,0,0,0,0,0,0,0.309,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0.961
Other_male_genital_disorders,0.423,0,0,0,0,0,0,0,0,0.32
Allergic_rhinitis,0.466,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.379,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.39,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.564,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.365,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.304,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.484,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.326,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.443,0,0,0,0,0,0,0,0,0
Vision_defects,0.471,0,0,0,0,0,0,0,0,0
