"",ML20,ML19,ML17,ML16,ML5,ML8,ML11,ML15,ML9,ML2,ML6,ML12,ML4,ML10,ML3,ML1,ML13,ML7,ML14,ML18
Allergic_rhinitis,0,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.3,0,0,0.361,0,0,0,0,0.341,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0.305,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,1.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.951,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0.563,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.369,0,0,0,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0.989,0,0,0,0,0,0,0,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0.909,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.367,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409,0,0,0,0.303
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315
Disorders_of_lipid_metabolism,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
