"",ML1,ML2
Hypertension,0.336,0.556
Disorders_of_lipid_metabolism,0,0.546
Other_male_genital_disorders,0,0.541
Obesity,0,0.497
Allergic_rhinitis,0,0.49
Obstructive_Sleep_apnea,0,0.478
Neuropathy_and_other_nervous_system_disorders,0,0.465
Hepatic_steatosis_and_other_liver_diseases,0,0.443
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.436
Sexual_disorders,0,0.426
Inflammatory_conditions_of_male_genital_organs,0,0.418
Alcohol-related_disorders,0,0.406
Depression_and_Mood_disorders,0,0.397
Anxiety_disorders,0,0.378
Osteoarthritis,0.336,0.369
Vision_defects,0,0.336
Headache__including_migraine,0,0.331
Psoriasis_and_other_inflammatory,0,0.326
Diabetes,0,0.321
Diverticulosis_and_diverticulitis,0,0.309
Myodesopsia_and_other_eye_disorders,0,0.304
Osteoporosis,0,0.304
Acute_cerebrovascular_disease,0,0
Cardiac_dysrhythmias,0.698,0
Cataract,0.433,0
Chronic_kidney_disease,0.485,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.4,0
Chronic_ulcer_of_skin,0.531,0
Coagulation_and_hemorrhagic_disorders,0.551,0
Congestive_heart_failure__nonhypertensive,0.665,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.455,0
Esophageal_disorders,0,0
Glaucoma,0,0
Gout,0.309,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Heart_valve_disorders,0.51,0
Hyperplasia_of_prostate,0,0
Irritable_bowel_and_other_GI_disorders,0,0
Ischemic_heart_disease,0.391,0
Neoplasms,0,0
Other_circulatory_disease,0,0
Other_non-traumatic_joint_disorders,0.501,0
Peripheral_and_visceral_atherosclerosis,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0
Thyroid_disorders,0,0
Transient_cerebral_ischemia,0.512,0
Urinary_incontinence,0.47,0
