"",ML5,ML6,ML4,ML1,ML2,ML3
Allergic_rhinitis,0,0.644,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.607,0,0,0,0
Depression_and_Mood_disorders,0,0.482,0,0,0,0
Disorders_of_lipid_metabolism,0,0.475,0,0,0,0
Other_male_genital_disorders,0,0.435,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.426,0,0,0,0
Osteoarthritis,0,0.426,0,0,0,0
Anxiety_disorders,0,0.422,0,0,0,0
Headache__including_migraine,0,0.41,0,0,0,0
Vision_defects,0,0.406,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.357,0,0,0.311,0
Osteoporosis,0,0.314,0,0,0,0
Sexual_disorders,0,0.302,0,0,0,0
Urinary_incontinence,0,0,0.976,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.377,0,0,0
Heart_valve_disorders,0.321,0,0.358,0,0,0
Chronic_ulcer_of_skin,0,0,0.346,0,0,0
Obstructive_Sleep_apnea,0,0,0.341,0,0.3,0
Irritable_bowel_and_other_GI_disorders,0,0,0.341,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,1.004,0,0
Chronic_kidney_disease,0.404,0,0,0.41,0,0
Hypertension,0.414,0,0,0.376,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,1.004,0
Alcohol-related_disorders,0,0,0,0,0.411,0
Obesity,0.315,0,0,0,0.35,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.994
Ischemic_heart_disease,0.419,0,0,0,0,0.344
Cardiac_dysrhythmias,0.665,0,0,0,0,0
Cataract,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.501,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.608,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.763,0,0,0,0,0
Diabetes,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0
Gout,0.467,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0
Other_circulatory_disease,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0.372,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0
