"",ML10,ML11,ML2,ML9,ML6,ML7,ML4,ML8,ML5,ML3,ML1
Cardiac_dysrhythmias,0,0.603,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.602,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.6,0,0,0,0,0,0,0,0,0
Glaucoma,0,0.512,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.438,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.373,0,0.315,0,0,0,0,0,0,0
Gout,0,0.357,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.338,0,0.301,0,0,0,0,0,0,0
Hypertension,0.396,0.328,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.548,0.313,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0.307,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.978,0,0,0,0,0,0,0,0
Urinary_incontinence,0.384,0,0.413,0,0,0,0,0,0,0,0
Diabetes,0.375,0,0.336,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.964,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0.977,0,0,0,0,0,0
Vision_defects,0,0,0,0,0.41,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0.388,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0.959,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.313,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0.959,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0.928,0,0,0
Obesity,0.37,0,0,0,0,0,0,0.353,0,0,0
Obstructive_Sleep_apnea,0.522,0,0,0,0,0,0,0.308,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0.999,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0.956,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0.944
Sexual_disorders,0.394,0,0,0,0,0,0,0,0,0,0.356
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.346,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.432,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.331,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.411,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.35,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.356,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.311,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.318,0,0,0,0,0,0,0,0,0,0
