"",ML15,ML13,ML12,ML8,ML14,ML9,ML3,ML11,ML2,ML6,ML10,ML7,ML1,ML4,ML5
Cardiac_dysrhythmias,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.339,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0.935,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0.383,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.323,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0.918,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0.403,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,1.011,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0.312,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0.904,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0.378,0,0,0,0,0,0,0.312,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.937,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0.354
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0.902,0,0,0,0
Diabetes,0.56,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0,0,0,0,0.914,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
