"",ML15,ML7,ML16,ML9,ML10,ML3,ML18,ML4,ML5,ML11,ML19,ML6,ML12,ML14,ML13,ML8,ML17,ML1,ML2
Obstructive_Sleep_apnea,0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0.302,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,1.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0.443,0.311,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.393,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0.976,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0.387,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0.434,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0.912,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0
Chronic_kidney_disease,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0,0.317
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
