"",ML2,ML3,ML1
Obesity,0,0.567,0
Disorders_of_lipid_metabolism,0,0.524,0
Hypertension,0.356,0.521,0
Inflammatory_conditions_of_male_genital_organs,0,0.496,0
Hepatic_steatosis_and_other_liver_diseases,0,0.48,0
Obstructive_Sleep_apnea,0,0.48,0
Allergic_rhinitis,0,0.471,0
Sexual_disorders,0,0.463,0
Alcohol-related_disorders,0,0.441,0
Other_male_genital_disorders,0,0.43,0
Diverticulosis_and_diverticulitis,0,0.418,0
Neuropathy_and_other_nervous_system_disorders,0,0.41,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.407,0
Osteoarthritis,0.316,0.403,0
Vision_defects,0,0.403,0
Depression_and_Mood_disorders,0,0.365,0
Diabetes,0,0.343,0
Anxiety_disorders,0,0.329,0
Psoriasis_and_other_inflammatory,0,0.309,0
Esophageal_disorders,0,0,0.996
Acute_cerebrovascular_disease,0,0,0
Cardiac_dysrhythmias,0.754,0,0
Cataract,0.423,0,0
Chronic_kidney_disease,0.478,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.438,0,0
Chronic_ulcer_of_skin,0.5,0,0
Coagulation_and_hemorrhagic_disorders,0.605,0,0
Congestive_heart_failure__nonhypertensive,0.7,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.434,0,0
Glaucoma,0.369,0,0
Gout,0,0,0
Headache__including_migraine,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hyperplasia_of_prostate,0,0,0
Ischemic_heart_disease,0.381,0,0
Neoplasms,0.311,0,0
Osteoporosis,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0
Thyroid_disorders,0,0,0
Transient_cerebral_ischemia,0.458,0,0
Urinary_incontinence,0.45,0,0
