"",ML4,ML3,ML1,ML2
Cardiac_dysrhythmias,0,0.836,0,0
Congestive_heart_failure__nonhypertensive,0,0.694,0,0
Coagulation_and_hemorrhagic_disorders,0,0.674,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.468,0,0
Urinary_incontinence,0,0.399,0,0
Chronic_ulcer_of_skin,0,0.379,0,0
Transient_cerebral_ischemia,0,0.355,0,0
Chronic_kidney_disease,0,0.352,0,0
Cataract,0,0.345,0,0
Gout,0,0.341,0,0
Glaucoma,0,0.34,0,0
Ischemic_heart_disease,0,0.34,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.317,0,0
Hypertension,0.522,0.307,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,1,0
Alcohol-related_disorders,0,0,0.434,0
Neuropathy_and_other_nervous_system_disorders,0.323,0,0.317,0
Obesity,0.399,0,0.31,0
Esophageal_disorders,0,0,0,0.991
Acute_cerebrovascular_disease,0,0,0,0
Allergic_rhinitis,0.47,0,0,0
Anxiety_disorders,0.431,0,0,0
Depression_and_Mood_disorders,0.531,0,0,0
Diabetes,0.37,0,0,0
Disorders_of_lipid_metabolism,0.617,0,0,0
Diverticulosis_and_diverticulitis,0.339,0,0,0
Headache__including_migraine,0.484,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.325,0,0,0
Hyperplasia_of_prostate,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.406,0,0,0
Neoplasms,0,0,0,0
Obstructive_Sleep_apnea,0.384,0,0,0
Osteoarthritis,0.496,0,0,0
Osteoporosis,0,0,0,0
Other_male_genital_disorders,0.371,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Sexual_disorders,0.497,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.568,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0.391,0,0,0
