"",ML5,ML4,ML3,ML2,ML1
Cardiac_dysrhythmias,0,0.861,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.698,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.661,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.459,0,0,0
Urinary_incontinence,0,0.389,0,0,0
Chronic_ulcer_of_skin,0,0.381,0,0,0
Glaucoma,0,0.371,0,0,0
Chronic_kidney_disease,0.313,0.37,0,0,0
Transient_cerebral_ischemia,0,0.349,0,0,0
Cataract,0,0.333,0,0,0
Ischemic_heart_disease,0,0.333,0,0,0
Gout,0,0.331,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.319,0,0,0
Hypertension,0.488,0.314,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,1.001,0,0
Alcohol-related_disorders,0,0,0.439,0,0
Obesity,0.315,0,0.333,0,0
Neuropathy_and_other_nervous_system_disorders,0.347,0,0.32,0,0
Obstructive_Sleep_apnea,0.307,0,0.303,0,0
Thyroid_disorders,0,0,0,1.006,0
Esophageal_disorders,0,0,0,0,0.992
Acute_cerebrovascular_disease,0,0,0,0,0
Allergic_rhinitis,0.468,0,0,0,0
Anxiety_disorders,0.403,0,0,0,0
Depression_and_Mood_disorders,0.542,0,0,0,0
Diabetes,0.41,0,0,0,0
Disorders_of_lipid_metabolism,0.568,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0
Headache__including_migraine,0.463,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.311,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.424,0,0,0,0
Neoplasms,0,0,0,0,0
Osteoarthritis,0.43,0,0,0,0
Osteoporosis,0,0,0,0,0
Other_male_genital_disorders,0.357,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0.518,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.615,0,0,0,0
Vision_defects,0.324,0,0,0,0
