"",ML2,ML3,ML1
Miscellaneous_mental_health_disorders,0,0.589,0
Allergic_rhinitis,0,0.465,0
Anxiety_disorders,0,0.448,0
Headache__including_migraine,0,0.391,0
Inflammatory_conditions_of_male_genital_organs,0,0.384,0
Other_male_genital_disorders,0,0.382,0
Disorders_of_lipid_metabolism,0.3,0.372,0
Depression_and_Mood_disorders,0,0.301,0
Atopic_dermatitis,0,0,0.995
Asthma,0,0,0.352
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hypertension,0.482,0,0
Obesity,1.004,0,0
Other_acquired_deformities,0,0,0
Sexual_disorders,0,0,0
Thyroid_disorders,0.329,0,0
Vision_defects,0,0,0
