"",ML3,ML2,ML1,ML4
Miscellaneous_mental_health_disorders,0,1.003,0,0
Atopic_dermatitis,0,0,0.994,0
Asthma,0,0,0.352,0
Other_male_genital_disorders,0,0,0,0.651
Sexual_disorders,0,0,0,0.399
Anxiety_disorders,0,0,0,0.365
Allergic_rhinitis,0,0,0,0
Depression_and_Mood_disorders,0.326,0,0,0
Disorders_of_lipid_metabolism,0.348,0,0,0
Headache__including_migraine,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Hypertension,0.523,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0
Obesity,1.004,0,0,0
Other_acquired_deformities,0,0,0,0
Thyroid_disorders,0.368,0,0,0
Vision_defects,0,0,0,0
