"",ML1,ML7,ML2,ML5,ML6,ML3,ML4
Miscellaneous_mental_health_disorders,0,0.71,0,0,0,0,0
Allergic_rhinitis,0,0.39,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.357,0,0,0,0.352,0
Disorders_of_lipid_metabolism,0.377,0.325,0,0,0,0,0
Headache__including_migraine,0,0.312,0,0,0,0,0
Atopic_dermatitis,0,0,0.988,0,0,0,0
Asthma,0,0,0.318,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.976,0,0,0
Sexual_disorders,0,0,0,0,0.985,0,0
Other_male_genital_disorders,0,0,0,0,0,0.985,0
Vision_defects,0,0,0,0,0,0,0.984
Anxiety_disorders,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hypertension,0.574,0,0,0,0,0,0
Obesity,0.95,0,0,0,0,0,0
Other_acquired_deformities,0,0,0,0,0,0,0
Thyroid_disorders,0.419,0,0,0,0,0,0
