"",ML8,ML4,ML1,ML5,ML6,ML3,ML2,ML7
Atopic_dermatitis,0,0.989,0,0,0,0,0,0
Asthma,0,0.387,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.979,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0.99,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.346,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0.985,0,0,0
Other_acquired_deformities,0,0,0,0,0,0.991,0,0
Thyroid_disorders,0,0,0,0,0,0,0.982,0
Vision_defects,0,0,0,0,0,0,0,0.984
Allergic_rhinitis,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.459,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.306,0,0,0,0,0,0,0
Hypertension,0.686,0,0,0,0,0,0,0
Obesity,0.81,0,0,0,0,0,0,0
Sexual_disorders,0.307,0,0,0,0,0,0,0
